product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
cowrie/cowrie,0,0,284,54220,8803,95175,1,165744,149,111524,838,12445,15,94612,537,174532,8596,114459,14,107637,50,27717,293,5505
certtools/intelmq,1,14545,236,59426,4684,63909,5,77975,35,33094,238,4719,4,5972,114,51811,2009,35626,3,50090,11,4251,97,1675
dj-stripe/dj-stripe,0,0,849,92839,8329,96514,2,159105,165,66266,737,12464,7,39647,103,40619,1321,26182,1,1737,2,765,6,86
rdiff-backup/rdiff-backup,0,0,12,3607,337,4442,1,5923,6,2316,10,176,0,0,0,0,0,0,0,0,0,0,0,0
axelrod-python/axelrod,2,5532,927,451724,18099,420642,6,640093,135,193901,1244,35960,15,175395,713,260541,11582,197901,4,150160,63,65014,436,19592
pywbem/pywbem,1,182,99,32822,2082,28047,7,47123,26,14483,210,4802,3,7799,53,26840,819,19183,2,23028,10,3987,44,837
lovesegfault/beautysh,1,882,6,882,68,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leancloud/python-sdk,1,363,261,49016,5033,51097,6,98146,72,49493,324,6423,5,14058,175,66118,3060,47959,6,62685,21,10625,134,2444
sh4nks/flask-caching,0,0,22,8116,418,6891,2,9963,8,1847,25,378,6,14498,115,48848,2626,35003,2,37103,3,2753,8,138
scikit-learn-contrib/metric-learn,0,0,742,311171,12018,335794,3,564488,208,253317,1736,71646,1,1071,42,12335,726,8889,1,15293,6,4029,22,496
scikit-learn-contrib/category_encoders,0,0,828,349548,12437,337175,3,525819,167,176271,912,36966,4,10540,717,258196,12668,303476,7,457402,136,209746,1428,46035
scikit-learn-contrib/imbalanced-learn,0,0,735,302308,12009,337878,3,564488,215,262180,1750,69599,1,1071,42,12335,726,8852,1,15293,6,4029,22,496
arista-eosplus/pyeapi,0,0,19,4801,371,4899,1,6773,1,1972,4,190,0,0,0,0,0,-154,0,0,0,0,0,0
abhishek-ram/pyas2-lib,0,0,76,28211,1136,28491,3,51297,27,23086,179,6317,2,19120,112,37199,2539,25137,1,18391,2,312,10,113
r0x0r/pywebview,0,0,0,0,159,1657,1,3072,1,3072,3,30,0,0,0,0,0,0,0,0,0,0,0,0
gtaylor/python-colormath,0,0,491,201866,5797,183474,2,235805,22,33939,92,3789,1,13144,47,13144,721,9228,0,0,0,0,0,0
obsrvbl/flowlogs-reader,0,0,33,6813,370,6109,2,9180,10,2367,38,724,4,22108,192,64114,4099,50779,4,55200,15,13194,188,3739
openml/openml-python,0,0,489,240705,9606,245205,8,372476,94,131771,1012,29117,4,6783,746,338199,11301,295016,7,431564,82,100148,494,21164
pynamodb/pynamodb,0,0,61,27547,1962,23594,1,34442,11,6895,69,930,4,21934,66,21934,1006,14795,0,0,0,0,0,0
jpmens/mqttwarn,1,998,283,40899,3147,38809,6,68832,43,28931,285,5510,3,5094,48,24764,642,17688,2,22552,9,2882,38,787
brack3t/django-braces,0,0,826,130429,8407,100809,1,149210,43,18781,117,2077,2,6933,30,7905,439,4666,1,1737,2,765,6,86
colinoflynn/pico-python,0,0,231,115564,3676,96266,1,133991,7,18427,24,974,0,0,0,0,0,0,0,0,0,0,0,0
