product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
approvals/approvaltests.python,103,3303,356,1982,15085,273426,985,391665,7,26173,18,10093,60,1392,37,37,30,365492,967,381572,15025,272034,0,1,0,0,0
chrismattmann/tika-python,9,1486,48,959,4996,77938,279,112902,1,27538,2,1369,31,472,15,15,14,85364,277,111533,4965,77466,0,1,0,0,0
moepman/acertmgr,16,1914,92,1344,2488,24887,105,36759,1,17639,20,9745,72,856,3,3,2,19120,85,27014,2423,24031,1,0,0,1,0
scille/parsec-cloud,146,30439,1151,17940,5468,83136,376,119367,10,90311,55,33178,269,5923,18,18,8,29056,321,86189,5213,77213,0,1,0,0,0
icloud-photos-downloader/icloud_photos_downloader,33,3462,165,2491,7673,102230,615,156732,11,90916,65,36936,401,7356,29,29,18,65816,550,119796,7279,94874,0,2,0,0,0
dials/dials,427,126767,3964,100015,4306,65498,229,94030,7,70788,19,12259,48,1008,19,19,12,23242,210,81771,4259,64490,0,1,0,0,0
rollbar/pyrollbar,47,4997,295,3276,943,22550,74,33712,3,17609,10,6353,17,337,6,6,3,16103,64,27359,926,22213,0,1,0,0,0
lektor/lektor,59,15667,1175,11271,13516,201328,913,340907,17,97890,83,55924,405,8651,26,26,9,243017,830,284983,13115,192677,0,1,0,0,0
spotdl/spotify-downloader,53,11434,208,7563,4505,71178,252,98976,4,31696,25,11441,142,3154,15,15,11,67280,227,87535,4363,68024,0,1,0,0,0
serhatbolsu/robotframework-appiumlibrary,19,2662,207,2114,17559,185168,1200,318716,5,198127,24,9322,105,1381,19,19,14,120589,1176,309394,17456,183787,0,1,0,0,0
tilezen/vector-datasource,356,54566,2366,46926,18296,327494,1156,450734,11,326759,106,54346,267,4811,33,33,22,123975,1050,396388,18033,322683,0,1,0,0,0
tilezen/tilequeue,43,8993,415,5595,17899,321128,1102,441498,10,339086,37,23337,144,3512,27,27,17,102412,1065,418161,17758,317616,0,1,0,0,0
mozilla/mozilla-django-oidc,10,1298,60,965,14178,179641,1164,263660,7,215014,81,33212,270,4448,15,15,8,48646,1083,230448,13915,175193,1,1,0,1,0
mozilla/pontoon,277,29746,1034,16281,1369,28728,114,41614,2,16611,9,4478,17,350,8,8,6,25003,105,37136,1352,28378,0,1,0,0,0
hdfgroup/hsds,76,27665,611,23867,13397,222845,735,314886,21,271428,94,75743,468,9839,33,33,12,43458,641,239143,12943,213006,2,1,1,1,0
hdfgroup/h5pyd,41,16402,620,13597,13894,242242,1166,386994,6,179552,27,29178,72,2189,37,37,31,207442,1139,357816,13823,240053,0,2,0,0,0
jbarlow83/ocrmypdf,46,10445,410,7146,9584,129208,524,205520,9,153686,75,56860,643,12671,16,16,7,51834,449,148660,8945,116537,0,1,0,0,0
geopython/owslib,72,26566,1113,19691,2006,38643,144,56997,6,38258,14,8331,56,1350,10,10,4,18739,130,48666,1950,37293,0,1,0,0,0
geopython/pywps,49,8131,412,5587,22165,379390,1006,572553,18,493824,159,193976,892,21901,38,38,20,78729,847,378577,21274,357489,0,1,0,0,0
geopython/geohealthcheck,58,9731,405,5621,28260,387559,1652,678533,27,347273,149,107352,680,16338,54,54,27,331260,1503,571181,27592,371221,2,1,0,2,0
sphinx-gallery/sphinx-gallery,23,6817,187,4734,10250,141371,794,315332,2,108508,10,6173,21,210,23,23,21,206824,784,309159,10232,141161,0,1,0,0,0
nexb/aboutcode-toolkit,24,9063,288,6197,3344,43525,286,70362,9,69871,110,40572,490,8374,11,11,2,491,176,29790,2857,35151,0,1,0,0,0
yandex/yandex-tank,123,21640,1520,16148,23536,381973,1542,604995,19,515334,106,88667,520,12032,34,34,15,89661,1436,516328,23022,369941,0,2,0,0,1
getsentry/responses,5,2023,99,1495,1229,26805,91,38637,4,33910,29,12011,139,2965,6,6,2,4727,62,26626,1092,23840,0,1,0,0,0
hyperspy/hyperspyui,95,16947,1042,11393,96678,1671872,6822,2728008,37,1778061,502,415159,2743,75027,101,101,64,949947,6320,2312849,93986,1596845,0,1,0,0,0
hyperspy/hyperspy,237,91706,2833,68260,79628,1424234,5017,2326605,44,1771790,438,440295,2830,94304,83,83,39,554815,4579,1886310,76834,1329930,0,1,0,0,0
achael/eht-imaging,58,48750,1199,43153,49587,1075761,3725,1650346,21,1255403,346,450575,2628,93121,52,52,31,394943,3379,1199771,47008,982640,0,0,0,0,1
ucfopen/canvasapi,79,16266,794,14467,1486,32506,108,54064,5,45703,30,21640,161,4135,9,9,4,8361,78,32424,1326,28371,0,1,0,0,0
broadinstitute/fiss,15,6134,274,5367,9703,157882,953,268370,1,998,1,998,5,59,30,30,29,267372,952,267372,9698,157823,0,1,0,0,0
sys-bio/tellurium,90,56662,2229,45170,72278,1531052,4786,2269582,26,1709881,233,513795,1709,62155,69,69,43,559701,4553,1755787,70610,1468897,0,1,0,0,0
soco/soco,39,16331,589,11128,1266,27814,109,41507,6,25404,14,6066,32,856,9,9,3,16103,95,35441,1235,26958,0,1,0,0,0
twitterdev/twitter-python-ads-sdk,16,2775,162,1099,4382,73318,315,105741,6,44473,7,5976,82,1733,19,19,13,61268,308,99765,4301,71585,0,1,0,0,0
