product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
flask-middleware/flask-security,35,12604,501,8535,5154,73288,288,112142,12,92142,46,30727,210,3955,18,18,6,20000,242,81415,4958,69333,0,0,0,0,0
fedora-infra/anitya,107,13826,412,9304,36730,480792,2020,742309,33,520196,170,162502,797,19642,69,69,36,222113,1850,579807,35952,461150,0,2,0,0,0
fedora-infra/the-new-hotness,55,4587,106,2607,22301,279313,1183,437665,14,267494,58,38332,264,5441,44,44,30,170171,1125,399333,22039,273872,0,2,0,0,0
jupyterhub/batchspawner,6,1147,47,500,21859,318629,912,469649,7,87147,27,26495,99,2797,37,37,30,382502,885,443154,21772,315832,0,2,0,0,0
inmanta/inmanta-core,160,59806,3781,39612,17915,264058,1212,470700,32,212520,149,83807,885,18451,47,47,15,258180,1063,386893,17034,245607,1,1,0,1,0
pslmodels/tax-calculator,33,12216,238,10333,2012,40539,122,63863,0,0,0,0,0,0,11,11,11,63863,122,63863,2012,40539,0,1,0,0,0
pslmodels/og-core,22,14526,171,13471,44400,885981,2692,1328913,21,955895,274,315143,2142,71978,47,47,26,373018,2418,1013770,42299,814003,0,1,0,0,0
lowerquality/gentle,21,1676,107,1170,4567,60062,277,84410,0,0,0,0,0,0,11,11,11,84410,277,84410,4567,60062,0,1,0,0,0
googleads/googleads-python-lib,7,2823,113,1883,4937,80899,603,144772,7,45078,30,14931,117,1994,24,24,17,99694,573,129841,4820,78905,0,1,0,0,0
naomiproject/naomi,252,32025,1052,25997,3419,54968,219,81635,12,73660,49,19357,266,5551,15,15,3,7975,170,62278,3154,49417,0,1,0,0,0
tardis-sn/tardis,126,32509,926,25563,2402,45315,174,67432,2,16611,9,4478,16,337,16,16,14,50821,165,62954,2386,44978,0,1,0,0,0
piqueserver/piqueserver,110,18508,1213,12161,24690,302217,1224,502603,14,381166,163,148097,1169,18665,30,30,16,121437,1061,354506,23529,283552,2,0,1,1,0
googlefonts/pyfontaine,418,220348,499,215447,5894,94517,395,154634,4,135360,11,5968,21,424,9,9,5,19274,384,148666,5873,94093,0,1,0,0,0
jag1g13/pycgtool,12,2633,119,2155,14195,345327,1216,582928,3,182961,44,49961,182,7546,13,13,10,399967,1172,532967,14014,337781,0,0,0,0,0
thetisproject/thetis,49,23919,842,15503,11160,303105,757,413252,6,411965,49,61827,256,9747,9,9,3,1287,708,351425,10906,293358,0,1,0,0,0
razorpay/razorpay-python,30,1926,163,1456,882,22187,73,32714,2,16611,8,4321,14,279,5,5,3,16103,65,28393,868,21908,0,1,0,0,0
brickschema/brick,27,12764,30,924,61040,1148331,3879,1706847,14,254205,119,59567,612,15281,103,103,89,1452642,3760,1647280,60437,1133050,0,1,0,0,0
econforge/dolo.py,61,12146,467,8193,62688,1099674,3829,1862062,15,997842,164,172353,907,29887,56,56,41,864220,3665,1689709,61790,1069787,0,1,0,0,0
matrix-org/matrix-python-sdk,18,3304,182,2456,1113,24717,91,36175,3,28463,14,6773,45,858,6,6,3,7712,77,29402,1068,23859,0,1,0,0,0
matrix-org/synapse,548,198753,6023,150958,21372,283987,1620,535082,11,78790,51,31820,313,7927,70,70,59,456292,1569,503262,21059,276060,0,2,0,0,1
dallinger/dallinger,87,20991,1208,15210,62558,855438,4404,1716279,44,1249413,293,216331,1429,30456,90,90,46,466866,4111,1499948,61170,824982,0,2,0,0,0
iqtlabs/poseidon,43,5706,308,4561,4489,66661,256,96493,0,0,0,0,0,0,11,11,11,96493,256,96493,4489,66661,0,2,0,0,0
matlink/gplaycli,6,818,25,654,5836,84089,310,139486,6,60350,29,14539,161,2878,14,14,8,79136,281,124947,5676,81211,1,1,0,1,0
georgemarshall/django-cryptography,9,898,63,534,11466,132657,1009,194809,4,168756,63,23467,275,4012,8,8,4,26053,946,171342,11207,128645,1,0,0,1,0
modoboa/modoboa,428,33671,1457,17832,21781,267576,1911,442121,21,410137,295,128317,1223,22151,24,24,3,31984,1616,313804,20636,245425,1,0,0,1,0
pipoline/rocket-python,34,1021,87,618,4428,70414,256,99648,2,16611,9,4478,16,338,23,23,21,83037,247,95170,4412,70076,0,1,0,0,0
archesproject/arches,376,55860,1722,31226,39549,590164,3074,855852,39,692739,330,151428,1613,31941,69,69,30,163113,2744,704424,37983,558223,1,2,0,1,0
simple-salesforce/simple-salesforce,11,2753,105,2214,5223,71347,363,106915,6,42070,25,14316,99,1680,18,18,12,64845,338,92599,5125,69667,0,2,0,0,0
uploadcare/pyuploadcare,55,6042,314,3858,4554,65428,328,97178,9,45053,49,20339,295,5472,16,16,7,52125,279,76839,4259,59956,0,0,0,0,1
tribler/tribler,362,43597,2636,30515,18946,346083,1333,525658,12,369694,90,56888,533,9211,35,35,23,155964,1243,468770,18419,336872,0,1,0,0,1
cta-observatory/ctapipe,130,33840,1096,22864,60241,1097705,3448,1639135,32,1367139,317,348244,1970,68107,50,50,18,271996,3131,1290891,58304,1029598,0,0,0,0,1
alex-rudakov/sphinx-argparse,5,1138,39,989,10250,141371,794,315332,4,227012,12,8981,78,864,23,23,19,88320,782,306351,10201,140507,0,1,0,0,0
pybel/pybel,183,27309,1236,15205,27021,558526,1441,765678,18,709921,259,341276,1998,60560,35,35,17,55757,1182,424402,25061,497966,0,1,0,0,0
ahmadfaizalbh/chatbot,8,1538,119,1233,883,22268,73,32798,0,0,0,0,0,0,5,5,5,32798,73,32798,883,22268,0,1,0,0,0
jjjake/internetarchive,28,6878,180,5076,1348,27874,128,41033,9,36306,26,11231,191,3623,11,11,2,4727,102,29802,1162,24251,0,1,0,0,0
infobyte/faraday,169,22696,919,13199,13180,181674,591,273024,10,80237,53,36009,203,4546,33,33,23,192787,538,237015,12981,177128,0,2,0,0,0
pylast/pylast,1,2918,235,2293,1780,27706,124,39980,5,29619,36,12722,282,5001,8,8,3,10361,88,27258,1498,22705,0,0,0,0,1
common-workflow-language/cwltool,53,17493,494,14238,12453,277948,839,369317,16,196878,64,77140,422,9348,33,33,17,172439,775,292177,12035,268600,0,1,0,0,0
common-workflow-language/cwltest,10,1667,44,1233,7127,110603,424,165219,8,104866,29,18230,150,3690,25,25,17,60353,395,146989,6982,106913,0,1,0,0,0
common-workflow-language/schema_salad,55,18381,614,14909,4445,69457,293,108853,6,72775,36,17045,186,3590,15,15,9,36078,257,91808,4262,65867,0,1,0,0,0
sdss/marvin,121,37421,1472,26749,57738,1153275,3798,1764751,38,1441106,467,577322,3242,105286,63,63,25,323645,3331,1187429,54550,1047989,1,0,0,1,1
okigan/awscurl,5,626,19,499,3823,54347,190,78987,3,18146,11,6098,17,337,12,12,9,60841,179,72889,3807,54010,0,2,0,0,0
turbo87/utm,5,359,10,266,8460,107228,328,166806,0,0,0,0,0,0,12,12,12,166806,328,166806,8460,107228,0,1,0,0,0
opendronemap/odm,120,19807,695,16036,7346,108446,715,190123,5,37572,20,12472,46,1205,26,26,21,152551,695,177651,7300,107241,0,2,0,0,0
zach-taylor/splunk_handler,2,381,17,304,899,22491,74,33066,3,27987,19,7580,116,2555,6,6,3,5079,55,25486,783,19936,0,1,0,0,0
browniebroke/deezer-python,21,2058,134,1221,882,22187,73,32714,2,16611,8,4321,14,279,5,5,3,16103,65,28393,868,21908,0,1,0,0,0
pv8/noipy,6,582,28,299,882,22187,73,32714,2,16611,9,4478,16,337,5,5,3,16103,64,28236,866,21850,0,1,0,0,0
zhmcclient/python-zhmcclient,55,35050,982,26384,2987,50422,229,73678,10,44004,27,17618,66,1234,21,21,11,29674,202,56060,2921,49188,0,1,0,0,0
gridsync/gridsync,81,15375,735,10034,22705,277568,1307,440619,13,113495,67,39250,212,5767,34,34,21,327124,1240,401369,22495,271801,0,1,0,0,1
mroberge/hydrofunctions,11,2861,46,2225,29646,536258,2027,911432,12,554147,162,194965,1344,46842,41,41,29,357285,1865,716467,28336,489416,0,1,0,0,0
fpgawars/apio,33,4844,196,3410,6136,95331,445,141864,6,35781,24,11394,91,1722,12,12,6,106083,421,130470,6046,93609,1,1,0,1,0
altdesktop/i3ipc-python,15,2722,132,1595,15354,208616,1096,423036,0,0,0,0,0,0,44,44,44,423036,1096,423036,15354,208616,0,1,0,0,0
googlemaps/google-maps-services-python,17,2983,73,2211,882,22187,73,32714,2,16611,9,4462,16,309,5,5,3,16103,64,28252,866,21878,0,1,0,0,0
thenetcircle/dino,168,29637,2135,19817,10496,254970,588,339124,6,189009,16,11622,59,1518,11,11,5,150115,572,327502,10438,253452,0,1,0,0,0
ndokter/dsmr_parser,19,2152,93,1024,4710,59747,265,93144,5,22582,16,8788,89,1862,13,13,8,70562,249,84356,4623,57885,0,1,0,0,0
yeti-platform/yeti,214,17125,739,11012,2217,35574,114,50119,0,0,0,0,0,0,10,10,10,50119,114,50119,2217,35574,0,1,0,0,0
uberi/speech_recognition,7,2055,58,1761,882,22187,73,32714,2,16611,9,4478,17,350,5,5,3,16103,64,28236,865,21837,0,1,0,0,0
deniscarriere/geocoder,67,8672,897,4271,3319,53921,317,84697,5,67145,33,20510,107,1538,10,10,5,17552,284,64187,3214,52383,0,1,0,0,0
kinto/kinto-signer,17,2238,72,1837,12217,165964,713,243233,12,119856,44,28486,176,3032,48,48,36,123377,669,214747,12046,162932,0,1,0,0,0
kinto/kinto,83,15629,820,11743,7220,104631,451,157015,18,107689,90,48605,381,8003,39,39,21,49326,361,108410,6857,96628,0,1,0,0,0
svenevs/exhale,23,11127,193,8170,13266,166407,872,350141,4,192906,33,17721,106,2692,28,28,24,157235,839,332420,13162,163715,0,1,0,0,0
fleet-commander/fc-client,24,2889,122,1715,20028,248526,1198,381702,0,0,0,0,0,0,47,47,47,381702,1198,381702,20028,248526,0,4,0,0,0
maxmind/geoip2-python,9,2467,73,804,2557,42582,157,61791,8,56685,34,19025,166,3732,13,13,5,5106,123,42766,2397,38850,1,1,0,1,0
algolia/algoliasearch-client-python,33,3362,274,2550,10079,140963,585,233725,4,55525,20,7822,115,2381,21,21,17,178200,565,225903,9964,138582,0,1,0,0,0
algolia/algoliasearch-django,14,1050,56,718,10121,132375,1006,193950,3,154303,28,6184,56,915,10,10,7,39647,978,187766,10065,131460,0,1,0,0,0
radish-bdd/radish,43,5411,259,3903,10465,126224,535,207266,0,0,0,0,0,0,15,15,15,207266,535,207266,10465,126224,0,1,0,0,0
pysat/pysat,37,18530,289,15783,26010,605478,1413,797271,11,764415,259,306648,2347,77911,28,28,17,32856,1154,490623,23701,527567,0,1,0,0,0
ultimaker/uranium,232,39528,2487,30306,8621,137909,706,250687,0,0,0,0,0,0,10,10,10,250687,706,250687,8621,137909,0,3,0,0,0
getslash/backslash,178,9567,828,5140,2744,44706,190,66124,4,27008,14,8709,36,464,12,12,8,39116,176,57415,2709,44242,0,1,0,0,0
namaggarwal/splitwise,19,2794,191,2157,1330,31883,156,46012,5,41201,23,8496,87,1794,7,7,2,4811,133,37516,1243,30089,0,1,0,0,0
signalfx/signalfx-python,21,3473,254,1999,2090,36597,177,55694,5,33985,41,12439,195,3881,9,9,4,21709,136,43255,1895,32716,0,1,0,0,0
thekevjames/coveralls-python,15,991,44,743,1531,32187,130,46545,4,30358,25,11843,146,2324,7,7,3,16187,105,34702,1385,29863,0,1,0,0,0
closeio/tasktiger,22,4437,163,3294,2379,32319,100,43655,3,43408,9,10131,26,587,4,4,1,247,91,33524,2353,31732,1,0,0,1,0
oggm/oggm,42,30130,688,26862,30039,672582,1773,974810,13,830638,253,318058,2049,73311,27,27,14,144172,1520,656752,28033,599271,1,1,0,1,0
mendix/cf-mendix-buildpack,68,12308,684,9179,6909,90214,357,132482,13,97016,64,31807,319,5927,18,18,5,35466,293,100675,6593,84287,1,0,0,1,2
ojarva/python-sshpubkeys,4,660,33,385,3059,31344,140,46041,2,20162,13,6719,49,414,5,5,3,25879,127,39322,3019,30930,0,0,0,0,1
getstream/stream-django,15,612,61,335,11863,154145,1091,226236,6,173246,46,16677,109,1819,19,19,13,52990,1045,209559,11755,152326,0,2,0,0,0
jonathonreinhart/scuba,14,1739,91,1278,20218,287831,1289,511968,5,61427,36,19070,206,4627,47,47,42,450541,1253,492898,20013,283204,0,1,0,0,0
miserlou/zappa,18,8782,251,7506,13463,203363,1215,399007,16,193902,77,45454,390,8890,26,26,10,205105,1138,353553,13083,194473,0,1,0,0,0
christabor/flask_jsondash,21,2759,100,1556,5854,74308,277,107006,6,92363,52,27446,200,4162,9,9,3,14643,225,79560,5655,70146,1,0,0,1,0
the-useless-one/pywerview,17,4203,144,3466,20326,256157,1331,486638,11,298790,119,78152,778,15753,28,28,17,187848,1212,408486,19563,240404,1,0,0,1,0
cloudinary/pycloudinary,55,6980,409,4946,524,7713,43,12774,3,12774,21,8460,106,2382,3,3,0,0,22,4314,418,5331,0,0,0,0,1
pnuckowski/aioresponses,4,634,40,476,1870,30956,96,44196,3,22379,9,5275,31,547,9,9,6,21817,87,38921,1845,30409,1,0,0,1,0
jpush/jpush-api-python-client,16,1312,98,793,882,22187,73,32714,2,16611,8,4321,14,279,5,5,3,16103,65,28393,868,21908,0,1,0,0,0
peopledoc/django-agnocomplete,29,2986,153,1230,9908,130188,975,191592,2,150947,79,34258,311,5628,10,10,8,40645,896,157334,9608,124560,0,1,0,0,0
sdispater/orator,142,22907,1717,18447,3861,48407,874,222324,13,160322,77,30055,278,5727,20,20,7,62002,798,192269,3586,42680,1,0,1,0,0
pdfminer/pdfminer.six,40,21113,666,8567,2614,27103,117,41362,2,22242,15,5683,52,1447,4,4,2,19120,102,35679,2562,25656,1,0,0,1,0
sulab/wikidataintegrator,20,20770,434,8892,20317,376445,1400,563312,22,475798,298,205193,2037,49313,44,44,22,87514,1102,358119,18317,327132,0,1,0,0,0
cubewise-code/tm1py,91,28387,1891,23456,1405,26037,97,39316,6,34589,26,12690,231,3749,8,8,2,4727,71,26626,1174,22288,0,1,0,0,0
alerta/alerta,108,16332,1005,11474,1751,34475,107,51567,6,40485,34,16102,201,3978,11,11,5,11082,73,35465,1550,30497,0,1,0,0,0
pycqa/isort,50,10144,243,6570,12682,191581,857,325698,2,38400,3,4631,26,470,23,23,21,287298,854,321067,12656,191111,0,1,0,0,0
pydata/pandas-datareader,50,9497,349,6062,10828,259461,616,346234,8,340482,140,167974,1253,42454,12,12,4,5752,476,178260,9609,217007,0,1,0,0,0
