product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
cog-creators/red-discordbot,190,72166,2738,56933,14368,224887,1130,452244,27,327978,151,88539,674,13849,43,43,16,124266,979,363705,13708,211038,6,24252,612,196507,7245,102479,19,237108,114,64853,532,11192,10,100014,367,167198,6463,108559,8,90870,37,23686,142,2657
jupyter/kernel_gateway,30,2947,143,1858,27458,388569,2132,687486,16,135619,82,45756,411,8591,87,87,71,551867,2050,641730,27064,379978,0,0,95,13409,1021,15400,3,22218,15,8809,28,486,71,551867,1955,628321,26043,364578,13,113401,67,36947,383,8105
jupyter/jupyter_client,38,9223,478,6315,2681,38027,166,55877,7,54465,34,20180,232,4794,9,9,2,1412,132,35697,2465,33233,0,0,104,32077,1758,27128,4,43666,22,11589,128,3007,2,1412,28,3620,707,6105,3,10799,12,8591,104,1787
jupyter/terminado,12,1116,63,574,1101,17274,38,24549,2,24549,16,13634,99,2128,2,2,0,0,22,10915,1003,15146,0,0,22,10915,1003,15356,2,24549,16,13634,99,2128,0,0,0,0,0,-210,0,0,0,0,0,0
aliyun/aliyun-oss-python-sdk,34,18887,1021,13977,6840,85256,449,133712,7,97247,88,28502,334,6875,13,13,6,36465,361,105210,6506,78381,1,998,202,45901,3263,35459,4,66951,79,22048,257,5408,5,35467,159,59309,3243,42922,3,30296,9,6454,77,1467
whynothugo/django-mercadopago,33,1990,37,399,11946,158582,1115,232649,6,195482,57,36637,248,4025,16,16,10,37167,1058,196012,11713,154557,3,9249,880,128820,8856,107151,2,149596,44,30025,167,2714,7,27918,178,67192,2857,47406,4,45886,13,6612,81,1311
armmbed/mbed-cli,7,3981,212,3005,4257,66979,388,110164,2,10961,22,9633,81,1402,18,18,16,99203,366,100531,4181,65577,0,0,14,1328,424,5749,2,10961,22,9633,81,1402,16,99203,352,99203,3757,59828,0,0,0,0,0,0
snok/django-auth-adfs,47,2019,50,952,12496,156191,1098,230022,7,199242,126,51805,623,11033,13,13,6,30780,972,178217,11884,145158,0,0,857,127424,9591,109236,4,174477,114,47053,573,10110,6,30780,115,50793,2293,35922,3,24765,12,4752,50,923
pyhdi/pyverilog,41,13824,1463,10542,983,14631,33,20315,2,19948,4,6585,82,1926,3,3,1,367,29,13730,901,12705,0,0,27,13363,867,12493,2,19948,4,6585,82,1926,1,367,2,367,34,212,0,0,0,0,0,0
milibris/flask-rest-jsonapi,16,2765,154,2251,13898,196607,429,301105,6,267243,76,121506,544,12209,16,16,10,33862,353,179599,13354,184398,0,0,213,120674,10319,144136,4,241301,75,120627,543,12196,10,33862,140,58925,3035,40262,2,25942,1,879,1,13
goshippo/shippo-python-client,10,1254,76,790,1216,25479,124,37612,3,21676,17,6648,40,1199,6,6,3,15936,107,30964,1176,24280,0,0,48,4703,472,5998,2,10024,14,5321,36,1117,3,15936,59,26261,704,18282,1,11652,3,1327,4,82
atlassian-api/atlassian-python-api,47,23877,1554,20610,1588,34022,165,49410,6,32309,15,5828,28,623,10,10,4,17101,150,43582,1561,33399,1,998,80,14895,687,12896,3,17867,10,3970,18,382,3,16103,70,28687,874,20503,3,14442,5,1858,10,241
picklepete/pyicloud,15,3054,205,2312,4906,65227,279,96218,7,43347,32,12001,187,3610,18,18,11,52871,247,84217,4719,61617,1,1596,58,12739,887,11274,4,19212,21,8069,142,2764,10,51275,189,71478,3832,50343,3,24135,11,3932,45,846
4catalyzer/flask-resty,28,4413,280,2887,13984,198459,434,303028,8,280292,111,153240,706,17261,16,16,8,22736,323,149788,13282,181198,0,0,26,5016,708,10339,4,17721,21,12705,99,2039,8,22736,297,144772,12574,170859,4,262571,90,140535,607,15222
donnemartin/saws,25,2800,89,1716,12188,141914,986,324241,5,152692,67,26166,347,7797,17,17,12,171549,919,298075,11845,134117,1,38449,574,164618,4832,52260,4,151925,65,25756,342,7705,11,133100,345,133457,7013,81857,1,767,2,410,5,92
sripathikrishnan/redis-rdb-tools,12,2815,295,2102,1930,24418,76,31208,1,28146,5,10390,16,343,3,3,2,3062,71,20818,1914,24075,0,0,58,17756,1600,21815,1,28146,5,10390,16,343,2,3062,13,3062,314,2260,0,0,0,0,0,0
pahaz/sshtunnel,4,2323,85,1564,3607,44474,183,63779,1,20421,14,9556,114,2207,6,6,5,43358,169,54223,3493,42267,0,0,32,10865,819,13172,1,20421,14,9556,114,2207,5,43358,137,43358,2674,29095,0,0,0,0,0,0
adamalton/django-csp-reports,20,795,34,330,8965,107638,901,157880,2,150947,33,16971,97,1601,4,4,2,6933,868,140909,8875,106037,0,0,837,132884,8435,101434,1,149210,32,16326,92,1524,2,6933,31,8025,440,4603,1,1737,1,645,5,77
colinhiggs/pyramid-jsonapi,43,11893,537,9263,17406,239259,706,364594,11,305665,134,158302,873,22625,33,33,22,58929,572,206292,16540,216634,1,438,235,112985,11027,148257,6,258482,123,145935,784,20746,21,58491,337,93307,5513,68377,5,47183,11,12367,89,1879
scrapy/parsel,6,1271,61,806,898,10991,62,16427,4,14759,7,4426,27,680,5,5,1,1668,55,12001,873,10311,1,1668,55,12001,873,10456,4,14759,7,4426,27,680,0,0,0,0,0,-145,0,0,0,0,0,0
scrapy/scrapy,176,22846,1556,15579,18214,218391,1037,356948,16,250242,182,129334,984,15861,36,36,20,106706,855,227614,17243,202530,3,3719,442,101842,12131,132400,6,219203,162,121080,871,13388,17,102987,413,125772,5112,70130,10,31039,20,8254,113,2473
scrapy/scrapyd,26,1779,181,1109,19741,233702,1207,379173,9,256227,124,84695,531,8731,37,37,28,122946,1083,294478,19215,224971,1,4063,510,116738,10882,117714,2,187969,107,75294,456,7652,27,118883,573,177740,8333,107257,7,68258,17,9401,75,1079
trufont/trufont,90,30112,1688,19440,8892,122760,583,194455,8,184815,80,44629,474,6960,16,16,8,9640,503,149826,8453,115800,1,300,90,13638,1521,19093,5,30232,38,16894,198,2549,7,9340,413,136188,6932,96707,3,154583,42,27735,276,4411
tmux-python/tmuxp,33,4657,136,3636,649,8824,43,12090,2,11208,13,5216,32,792,3,3,1,882,30,6874,618,8032,1,882,30,6874,618,8034,2,11208,13,5216,32,792,0,0,0,0,0,-2,0,0,0,0,0,0
grigorig/stcgal,9,5058,290,3153,632,8608,60,12884,2,12884,19,8020,83,1484,2,2,0,0,41,4864,551,7124,0,0,41,4864,551,7167,2,12884,19,8020,83,1484,0,0,0,0,0,-43,0,0,0,0,0,0
qquick/transcrypt,236,32800,1713,25253,5042,71434,135,93279,2,89994,17,10076,146,3909,4,4,2,3285,118,83203,4896,67525,0,0,114,79897,4709,65724,1,89175,15,9278,110,3324,2,3285,4,3306,187,1801,1,819,2,798,36,585
charnley/rmsd,4,2233,41,1712,10331,287518,696,390953,2,390953,46,59596,300,14089,2,2,0,0,650,331357,10034,273429,0,0,650,331357,10034,274197,2,390953,46,59596,300,14089,0,0,0,0,0,-768,0,0,0,0,0,0
rst2pdf/rst2pdf,44,12994,491,9604,9328,125713,748,294659,8,293878,147,95917,882,18791,10,10,2,781,601,198742,8473,106922,0,0,538,187868,7196,87894,6,261279,103,73411,772,15328,2,781,63,10874,1277,19028,2,32599,44,22506,110,3463
kenfar/datagristle,26,9013,381,6901,25836,340215,1035,509837,12,288907,67,75771,275,7693,37,37,25,220930,968,434066,25564,332522,5,52075,422,213266,13380,182281,7,219838,50,58647,180,5797,20,168855,546,220800,12184,150241,5,69069,17,17124,95,1896
datadog/datadogpy,76,10465,417,7593,883,22268,73,32798,2,16611,8,4321,14,279,5,5,3,16187,65,28477,869,21989,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
geospace-code/georinex,26,3684,66,3040,12624,298310,635,389751,6,386315,157,216030,1417,44441,13,13,7,3436,478,173721,11225,253869,1,673,263,113243,6071,143350,3,218468,86,105898,663,22461,6,2763,215,60478,5154,110519,3,167847,71,110132,754,21980
vijos/vj4,80,10986,772,6659,9114,126979,609,224359,21,131009,80,41426,369,7780,35,35,14,93350,529,182933,8747,119199,0,0,150,42446,3422,41660,13,71111,47,28665,254,5689,14,93350,379,140487,5325,77539,8,59898,33,12761,115,2091
bumps/bumps,160,39175,1864,24977,61,363,1,998,0,0,0,0,0,0,1,1,1,998,1,998,61,363,1,998,1,998,61,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ebroecker/canmatrix,35,14939,408,11795,2593,35580,261,56891,2,15589,4,3815,14,479,4,4,2,41302,257,53076,2579,35101,2,41302,257,53076,2579,35101,2,15589,4,3815,14,479,0,0,0,0,0,0,0,0,0,0,0,0
bluesky/bluesky,36,20003,840,15359,5601,122145,392,171139,8,152514,27,39336,143,4179,18,18,10,18625,365,131803,5459,117966,1,308,61,6522,629,7945,6,15457,18,9243,107,2228,9,18317,304,125281,4830,110021,2,137057,9,30093,36,1951
bluesky/ophyd,49,24588,1012,11838,7962,211298,627,271830,4,268758,27,34764,87,3789,5,5,1,3072,600,237066,7875,207509,0,0,599,233994,7713,205822,4,268758,27,34764,87,3789,1,3072,1,3072,162,1687,0,0,0,0,0,0
translate/translate,413,89152,4500,62828,1705,34002,119,50065,2,11713,12,5702,58,1753,8,8,6,38352,107,44363,1647,32249,0,0,22,3728,303,3919,1,7110,6,3382,29,572,6,38352,85,40635,1344,28330,1,4603,6,2320,29,1181
hhatto/autopep8,3,4724,210,4005,130,2951,5,3551,2,3551,3,3530,63,1220,2,2,0,0,2,21,67,1731,0,0,2,21,67,1731,2,3551,3,3530,63,1220,0,0,0,0,0,0,0,0,0,0,0,0
explosion/thinc,96,13961,1090,9362,7218,144476,414,201619,7,197407,26,28036,133,2910,13,13,6,4212,388,173583,7086,141566,5,1140,139,47175,2473,34707,4,49337,7,3302,68,1098,1,3072,249,126408,4613,106859,3,148070,19,24734,65,1812
esgf/esgf-pyclient,14,1771,79,1158,6450,88917,342,129266,11,93502,45,25391,236,4720,22,22,11,35764,297,103875,6217,84197,0,0,55,25375,1745,23445,5,37100,25,11725,140,2860,11,35764,242,78500,4472,60752,6,56402,20,13666,96,1860
plotly/dash,67,13078,595,9648,17804,546867,2006,746534,7,692904,36,32777,112,2862,24,24,17,53630,1970,713757,17693,544005,3,3630,1794,642315,14129,488899,4,659557,22,20872,75,1867,14,50000,176,71442,3564,55106,3,33347,14,11905,37,995
man-group/arctic,78,11177,600,8441,737,11274,42,17548,3,9761,5,4586,41,1656,8,8,5,7787,37,12962,696,9618,4,6789,20,7698,364,4638,2,2145,3,1236,9,373,1,998,17,5264,332,4980,1,7616,2,3350,32,1283
stphivos/django-mock-queries,9,1662,160,1193,10087,120868,990,178272,3,152778,11,3386,25,510,7,7,4,25494,979,174886,10064,120358,1,15925,942,164225,9543,114595,2,151041,10,2741,20,433,3,9569,37,10661,521,5763,1,1737,1,645,5,77
scikit-tda/kepler-mapper,13,3530,73,3031,15283,427200,1025,595452,5,594014,79,95169,467,20570,7,7,2,1438,946,500283,14822,406630,0,0,270,175272,4137,127075,2,187768,9,12496,33,1005,2,1438,676,325011,10685,279555,3,406246,70,82673,434,19565
sanic-org/sanic,117,20174,873,14276,691,12542,84,17066,7,17012,22,5919,87,1896,8,8,1,54,62,11147,608,10646,1,54,62,11147,608,10675,7,17012,22,5919,87,1896,0,0,0,0,0,-29,0,0,0,0,0,0
bids-standard/pybids,52,17301,551,12170,29438,618123,1514,866601,12,855350,294,372803,2282,70398,20,20,8,11251,1220,493798,27183,547725,0,0,1115,473967,25998,534964,9,842026,291,368059,2250,69372,8,11251,105,19831,1185,12761,3,13324,3,4744,32,1026
sumologic/sumologic-python-sdk,18,1067,90,428,882,22187,73,32714,3,27987,20,7737,121,2644,5,5,2,4727,53,24977,761,19543,0,0,7,580,153,2067,1,5435,11,4855,83,1857,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
salsita/shishito,49,4599,227,2783,15003,184944,1039,300831,11,270865,97,38378,352,6862,28,28,17,29966,942,262453,14653,178082,2,3495,630,162333,9138,97256,5,175594,55,16756,157,2719,15,26471,312,100120,5515,80826,6,95271,42,21622,195,4143
tchellomello/python-amcrest,22,4408,356,3026,1103,25289,86,37608,2,16611,10,4793,18,346,7,7,5,20997,76,32815,1085,24943,2,4894,23,6699,442,6757,1,5435,8,3630,15,269,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
openwateranalytics/pyswmm,19,9695,406,6800,267,3133,9,16187,0,0,0,0,0,0,2,2,2,16187,9,16187,267,3133,2,16187,9,16187,267,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobrateam/splinter,30,4375,446,3070,460,7317,39,11652,1,11652,2,707,2,11,1,1,0,0,37,10945,458,7306,0,0,37,10945,458,7306,1,11652,2,707,2,11,0,0,0,0,0,0,0,0,0,0,0,0
pyspeckit/pyspeckit,112,30930,896,23375,21499,427295,1349,658979,7,526177,163,217349,1161,41338,16,16,9,132802,1186,441630,20341,385957,0,0,544,209093,9447,177410,2,327593,92,118500,648,20538,9,132802,642,232537,10894,208547,5,198584,71,98849,513,20800
nipy/nibabel,128,39542,1239,24750,3971,101028,252,138048,2,138048,35,46735,211,8363,2,2,0,0,217,91313,3761,92665,0,0,217,91313,3761,92855,2,138048,35,46735,211,8363,0,0,0,0,0,-190,0,0,0,0,0,0
tensorlayer/tensorlayer,111,32488,1046,22356,22051,639348,1766,885941,14,735246,272,305286,2126,83825,24,24,10,150695,1494,580655,19938,555523,1,1915,413,146594,5245,154448,7,273056,123,128377,1172,42296,9,148780,1081,434061,14693,401075,7,462190,149,176909,954,41529
ethereum/py-evm,306,34090,1867,17316,3784,47802,346,78351,7,12388,36,6053,165,1864,16,16,9,65963,310,72298,3624,45938,2,200,68,5965,531,5009,5,10310,21,4545,120,1399,7,65763,242,66333,3093,40929,2,2078,15,1508,45,465
tulip-control/polytope,10,4591,138,3621,12440,376555,971,492773,3,492773,41,53037,172,8185,3,3,0,0,930,439736,12269,368370,0,0,930,439736,12269,368372,3,492773,41,53037,172,8185,0,0,0,0,0,-2,0,0,0,0,0,0
weaverba137/pydl,35,10518,198,9193,28050,616587,1807,915947,6,744513,154,231079,1041,39395,17,17,11,171434,1653,684868,27014,577192,0,0,854,337646,12909,314163,2,459569,83,121923,550,18320,11,171434,799,347222,14105,263029,4,284944,71,109156,491,21075
pycontribs/jira,9,7750,328,6518,1946,39042,216,57922,7,38260,25,9355,153,3110,11,11,4,19662,191,48567,1793,35932,1,3072,37,8573,461,5861,3,6464,4,963,13,244,3,16590,154,39994,1332,30071,4,31796,21,8392,140,2866
cwacek/python-jsonschema-objects,14,4477,207,2871,1127,14584,94,22400,5,15479,18,8060,54,726,10,10,5,6921,76,14340,1073,13858,1,998,39,6921,634,7625,3,12308,15,6385,45,655,4,5923,37,7419,439,6233,2,3171,3,1675,9,71
fabfuel/ecs-deploy,6,2480,128,1889,6707,97104,473,144313,7,117754,32,19168,132,2165,13,13,6,26559,441,125145,6575,94939,0,0,329,80374,4611,59745,4,93051,21,12677,114,1810,6,26559,112,44771,1964,35194,3,24703,11,6491,18,355
nschloe/pygmsh,38,2713,135,1716,6171,143579,777,300558,3,176156,99,71204,550,19259,6,6,3,124402,678,229354,5621,124320,0,0,44,1349,84,2009,1,15805,43,14456,294,10472,3,124402,634,228005,5537,122311,2,160351,56,56748,256,8787
nschloe/tikzplotlib,18,4671,121,4123,14005,259630,853,429819,4,297609,122,115727,622,18229,14,14,10,132210,731,314092,13384,241401,1,1268,118,78628,2931,51655,1,124992,45,47632,279,3651,9,130942,613,235464,10453,189746,3,172617,77,68095,343,14578
nschloe/meshio,89,16092,389,12663,5793,131098,690,284753,2,160351,56,56748,258,9030,5,5,3,124402,634,228005,5535,122068,0,0,260,103603,4394,103314,2,160351,56,56748,258,9030,3,124402,374,124402,1141,18754,0,0,0,0,0,0
zulko/moviepy,166,20983,701,16217,7169,167559,486,235315,3,197773,30,41569,117,4608,10,10,7,37542,456,193746,7052,162951,1,454,42,29497,1087,21284,1,32772,7,3729,32,1207,6,37088,414,164249,5965,141667,2,165001,23,37840,85,3401
xgcm/xrft,7,1976,39,1642,24139,580634,1320,762198,10,741817,246,307860,2467,79050,19,19,9,20381,1074,454338,21696,501584,0,0,571,290771,11022,290346,3,410490,99,119719,928,24440,9,20381,503,163567,10674,211238,7,331327,147,188141,1539,54610
home-assistant-ecosystem/python-mystrom,8,1077,92,607,4381,67866,233,98599,9,92960,35,22572,235,4606,14,14,5,5639,198,76027,4148,63260,0,0,122,47620,3155,40065,4,63285,25,15665,180,3437,5,5639,76,28407,993,23195,5,29675,10,6907,55,1169
oemof/feedinlib,13,3493,84,2625,17860,473267,1116,630161,6,590875,150,211943,1281,43115,15,15,9,39286,966,418218,16600,430152,0,0,230,93611,3909,106273,2,162507,57,68896,411,17351,9,39286,736,324607,12691,323879,4,428368,93,143047,870,25764
oemof/demandlib,8,866,20,616,9614,232783,515,306410,4,305385,91,143091,1032,30727,6,6,2,1025,424,163319,8598,202056,0,0,379,153714,8182,197224,2,295133,89,141419,1002,29745,2,1025,45,9605,416,4832,2,10252,2,1672,30,982
sassoftware/python-swat,71,21065,1221,35589,10496,254970,588,339124,8,333496,127,163157,1312,38086,11,11,3,5628,461,175967,9205,216884,0,0,157,41119,4500,100088,2,166583,91,125464,1145,32597,3,5628,304,134848,4705,116796,6,166913,36,37693,167,5489
languitar/autosuspend,22,2998,163,2044,544,6829,10,10181,1,10181,9,9949,94,1264,1,1,0,0,1,232,450,5565,0,0,1,232,450,5565,1,10181,9,9949,94,1264,0,0,0,0,0,0,0,0,0,0,0,0
bundlewrap/bundlewrap,79,17493,953,13743,6455,88327,339,133311,10,97721,78,46441,506,9002,16,16,6,35590,261,86870,5951,79325,0,0,173,41267,4077,47220,9,86545,76,45278,503,8925,6,35590,88,45603,1874,32105,1,11176,2,1163,3,77
sebp/scikit-survival,40,11825,400,7979,17330,437296,1040,584913,9,582817,158,220948,1422,48196,12,12,3,2096,882,363965,15934,389100,0,0,217,64262,5609,118203,5,181612,79,117350,904,25039,3,2096,665,299703,10325,270897,4,401205,79,103598,518,23157
pwr-solaar/solaar,47,22368,1129,12472,1868,21711,130,45061,5,44063,29,18957,129,2259,6,6,1,998,101,26104,1740,19452,0,0,100,25106,1679,19111,5,44063,29,18957,129,2259,1,998,1,998,61,341,0,0,0,0,0,0
borda/birl,39,9673,285,6366,38818,837031,2379,1213934,18,943305,274,377397,2332,71208,35,35,17,270629,2105,836537,36511,765823,1,587,1329,529209,26287,554379,13,885158,255,356536,2219,67115,16,270042,776,307328,10224,211444,5,58147,19,20861,113,4093
finat/finat,28,4414,375,3027,17178,334370,1084,635894,2,587534,17,32406,54,2301,4,4,2,48360,1067,603488,17124,332069,0,0,1007,555128,15749,300260,2,587534,17,32406,54,2301,2,48360,60,48360,1375,31809,0,0,0,0,0,0
koenedaele/skosprovider,9,2503,112,1396,1303,14960,79,25118,3,15147,10,6766,129,2672,7,7,4,9971,69,18352,1175,12288,0,0,29,7613,596,5650,2,14037,9,6424,126,2617,4,9971,40,10739,579,6638,1,1110,1,342,3,55
ccrisan/motioneye,28,9845,386,8042,5570,65861,238,94113,3,90959,74,44650,315,6905,5,5,2,3154,164,49463,5257,58956,1,2787,162,49096,5223,58942,3,90959,74,44650,315,6905,1,367,2,367,34,14,0,0,0,0,0,0
peerchemist/finta,4,2392,123,2100,9614,232783,515,306410,4,305385,99,148028,954,28366,6,6,2,1025,416,158382,8681,204417,0,0,158,48509,4591,105857,1,161148,72,112639,818,22904,2,1025,258,109873,4090,98560,3,144237,27,35389,136,5462
dr-prodigy/python-holidays,166,30120,926,14897,364,6263,19,8614,1,7616,2,1702,30,1035,2,2,1,998,17,6912,334,5228,0,0,16,5914,273,4865,1,7616,2,1702,30,1035,1,998,1,998,61,363,0,0,0,0,0,0
taspinar/twitterscraper,6,789,20,645,2485,42110,161,61939,3,26069,20,10454,104,1355,11,11,8,35870,141,51485,2381,40755,3,8906,71,14508,1258,14615,2,14893,18,9291,101,1278,5,26964,70,36977,1123,26140,1,11176,2,1163,3,77
xknx/xknx,152,22588,1346,13308,2522,25248,112,37537,3,18417,14,4312,49,553,5,5,2,19120,98,33225,2475,24695,0,0,65,14105,1265,10801,2,18170,13,4065,43,484,2,19120,33,19120,1210,13894,1,247,1,247,6,69
tmancal74/quantarhei,180,50561,1498,38554,21314,461117,1367,702847,8,537336,93,106403,489,20755,18,18,10,165511,1274,596444,20831,440362,0,0,823,427434,13821,335042,7,533273,92,105839,484,20604,10,165511,451,169010,7010,105320,1,4063,1,564,5,151
sunscrapers/djoser,38,1606,75,745,15743,196367,1565,291997,7,186426,92,39374,386,6167,23,23,16,105571,1473,252623,15376,190200,1,91,58,2825,198,1393,2,3277,4,543,8,50,15,105480,1415,249798,15178,188807,5,183149,88,38831,378,6117
fizzadar/pyinfra,142,23621,752,17206,12573,162295,735,247862,15,187551,123,68011,752,13600,28,28,13,60311,612,179851,11851,148695,0,0,363,88943,7230,85931,10,146702,97,57759,667,12184,13,60311,249,90908,4621,62764,5,40849,26,10252,85,1416
cloudve/cloudbridge,44,23103,2012,15741,440,4974,30,7461,2,2110,6,1096,11,47,5,5,3,5351,25,6365,429,4927,2,1288,11,2574,238,2125,2,2110,6,824,11,47,1,4063,14,3791,191,2802,0,0,0,272,0,0
scrapy-plugins/scrapy-zyte-smartproxy,4,444,31,311,19742,233783,1207,379257,2,29136,3,428,6,68,37,37,35,350121,1204,378829,19736,233715,1,22225,170,22225,1527,15311,0,0,0,0,0,0,34,327896,1034,356604,18209,218404,2,29136,3,428,6,68
entilzha/pyfunctional,9,3756,246,3174,435,7255,22,10564,1,5996,1,2035,8,92,4,4,3,4568,21,8529,427,7163,1,2721,15,6682,304,5759,1,5996,1,2035,8,92,2,1847,6,1847,123,1404,0,0,0,0,0,0
gandi/gandi.cli,65,11039,547,7474,3096,52557,175,76305,5,60202,29,16612,198,3177,8,8,3,16103,146,59693,2900,49380,0,0,93,33577,2257,31254,4,49026,27,15449,195,3100,3,16103,53,26116,643,18126,1,11176,2,1163,3,77
novnc/websockify,10,3231,125,2647,3780,98226,238,133985,1,133985,4,4604,5,75,1,1,0,0,234,129381,3775,98151,0,0,234,129381,3775,98151,1,133985,4,4604,5,75,0,0,0,0,0,0,0,0,0,0,0,0
vericast/spylon-kernel,11,3640,98,2284,18402,259540,1365,488964,9,131036,33,18426,144,2569,37,37,28,357928,1332,470538,18265,256971,0,0,94,12906,887,12198,3,18324,12,5418,46,743,28,357928,1238,457632,17378,244773,6,112712,21,13008,98,1826
flyingrub/scdl,4,1088,23,858,2807,44923,238,69188,8,43475,43,18187,176,3056,15,15,7,25713,195,51001,2632,41867,0,0,112,15275,1541,16831,7,32299,41,17024,173,2979,7,25713,83,35726,1091,25036,1,11176,2,1163,3,77
django-salesforce/django-salesforce,52,7368,356,3834,9928,130909,980,193230,5,170194,144,60478,525,8842,10,10,5,23036,836,132752,9450,122067,0,0,753,98731,8368,99738,3,157281,140,58550,516,8679,5,23036,83,34021,1082,22329,2,12913,4,1928,9,163
ppb/pursuedpybear,49,5595,313,2597,1070,14000,86,24883,4,24883,22,12602,70,1570,4,4,0,0,64,12281,1005,12430,0,0,60,10907,824,11336,3,22968,21,12061,65,1458,0,0,4,1374,181,1094,1,1915,1,541,5,112
spacetelescope/imexam,12,6673,281,5529,28050,616587,1807,915947,9,784883,152,207084,998,37326,17,17,8,131064,1655,708863,27057,579261,0,0,1191,540020,19464,449703,4,718546,141,178526,965,36123,8,131064,464,168843,7593,129558,5,66337,11,28558,33,1203
spacetelescope/synphot_refactor,18,6521,186,5153,18038,458713,1212,625444,5,619521,161,214218,1112,39588,6,6,1,5923,1051,411226,16937,419125,0,0,1017,401733,16149,392765,3,593554,158,191821,1098,38876,1,5923,34,9493,788,26360,2,25967,3,22397,14,712
spacetelescope/gwcs,18,7780,299,5915,20960,494107,1453,674544,7,650916,155,210988,972,36808,19,19,12,23628,1298,463556,20001,457299,0,0,1006,373040,14566,337301,4,489104,86,116064,512,17833,12,23628,292,90516,5435,119998,3,161812,69,94924,460,18975
spacetelescope/drizzlepac,133,72936,1286,62053,67874,1410487,4789,2058051,37,1555638,644,714878,5158,172779,83,83,46,502413,4145,1343173,62768,1237708,1,593,2060,552506,24260,554195,15,945332,400,393419,2689,97222,45,501820,2085,790667,38508,683513,22,610306,244,321459,2469,75557
spacetelescope/pysynphot,66,95366,10374,68643,12028,277738,772,380335,5,369499,111,154707,731,25401,8,8,3,10836,661,225628,11298,252337,1,998,431,137394,6833,134850,2,209547,59,73151,436,13774,2,9838,230,88234,4465,117487,3,159952,52,81556,295,11627
theqrl/qrl,131,32812,1480,16421,16685,214990,1160,353834,12,114409,71,41996,266,5159,54,54,42,239425,1089,311838,16423,209831,8,27585,154,42411,3625,40292,8,34933,27,20107,139,3269,34,211840,935,269427,12798,169539,4,79476,44,21889,127,1890
django-waffle/django-waffle,36,2541,126,1092,8965,107638,901,157880,2,150947,50,27610,128,2166,4,4,2,6933,851,130270,8858,105472,0,0,820,121720,8414,100978,1,149210,49,27490,127,2157,2,6933,31,8550,444,4494,1,1737,1,120,1,9
comictagger/comictagger,82,17697,714,12618,4692,81686,343,121786,12,94738,72,36172,218,6148,19,19,7,27048,271,85614,4474,75538,1,6166,74,13658,768,12272,7,16501,21,9009,99,2468,6,20882,197,71956,3706,63266,5,78237,51,27163,119,3680
gregreen/dustmaps,24,5668,169,4275,29860,657415,1936,973227,12,778679,158,223290,1009,37301,27,27,15,194548,1778,749937,28855,620114,0,0,1090,435453,17197,414347,7,618107,142,182654,977,36287,15,194548,688,314484,11658,205767,5,160572,16,40636,32,1014
g-node/nixpy,45,9124,553,6593,4028,101344,257,140160,2,139162,16,23110,71,2729,3,3,1,998,241,117050,3957,98615,1,998,241,117050,3957,98615,2,139162,16,23110,71,2729,0,0,0,0,0,0,0,0,0,0,0,0
spotify/luigi,102,29671,1951,18270,5273,67003,265,106427,6,104508,22,14866,111,2104,8,8,2,1919,244,91561,5164,64899,0,0,47,20361,1417,22374,4,33873,20,13512,107,2073,2,1919,197,71200,3747,42525,2,70635,2,1354,4,31
20c/vaping,18,2633,128,1709,8552,116795,461,178882,7,31222,19,8241,54,1134,22,22,15,147660,442,170641,8501,115661,2,31441,79,32731,1644,23542,3,3583,5,2293,24,487,13,116219,363,137910,6857,92119,4,27639,14,5948,30,647
kevin1024/vcrpy,31,3389,279,2311,1337,24173,80,34061,3,18992,15,7260,34,528,7,7,4,15069,65,26801,1303,23645,2,2913,52,14645,1107,14316,3,18992,15,7260,34,528,2,12156,13,12156,196,9329,0,0,0,0,0,0
