project,package_name,status,activation_status
juanifioren/django-oidc-provider,certifi,Unresolved,Bloated
zalando-stups/pierone-cli,certifi,Transitive,Bloated
divio/divio-cli,certifi,Transitive,Bloated
librosa/librosa,certifi,Transitive,Bloated
espressif/esptool,cryptography,Direct,Inactive
lablup/backend.ai-manager,aiohttp,Transitive,Active
lablup/backend.ai-manager,cryptography,Direct,Inactive
securityinnovation/pgpy,cryptography,Direct,Inactive
caktus/aws-web-stacks,certifi,Unresolved,Bloated
cartodb/carto-python,certifi,Transitive,Bloated
pndurette/gtts,certifi,Transitive,Bloated
musculoskeletalatlasproject/mapclient,certifi,Unresolved,Bloated
radical-cybertools/radical.entk,certifi,Unresolved,Bloated
erdc/rapidpy,certifi,Unresolved,Bloated
wagtail/wagtailtrans,certifi,Transitive,Bloated
wagtail/wagtailtrans,wagtail,Direct,Inactive
wagtail/wagtail,certifi,Transitive,Bloated
stamusnetworks/scirius,certifi,Unresolved,Bloated
yeatmanlab/pyafq,certifi,Transitive,Bloated
missionpinball/mpf-mc,certifi,Transitive,Bloated
missionpinball/mpf-mc,Pygments,Transitive,Undefined
aio-libs/aiobotocore,aiohttp,Direct,Inactive
aio-libs/sockjs,aiohttp,Direct,Active
aio-libs/aiodocker,aiohttp,Direct,Inactive
aio-libs/aiohttp-session,aiohttp,Direct,Active
aio-libs/aiohttp-sse,aiohttp,Direct,Inactive
aio-libs/aiohttp-devtools,aiohttp,Direct,Active
geoscienceaustralia/eo-datasets,certifi,Transitive,Bloated
log2timeline/dfvfs,cryptography,Unresolved,Inactive
moonso/genmod,configobj,Direct,Inactive
sharppy/sharppy,certifi,Transitive,Undefined
farrokhi/dnsdiag,certifi,Transitive,Bloated
wheatoncs/lexos,certifi,Transitive,Bloated
wheatoncs/lexos,cryptography,Transitive,Bloated
nordicsemiconductor/pc-ble-driver-py,cryptography,Unresolved,Inactive
nordicsemiconductor/pc-nrfutil,cryptography,Transitive,Bloated
frictionlessdata/datapackage-py,certifi,Transitive,Bloated
f5networks/f5-common-python,certifi,Transitive,Bloated
f5networks/f5-openstack-agent,certifi,Transitive,Bloated
optimizely/python-sdk,certifi,Transitive,Bloated
optimizely/python-sdk,cryptography,Transitive,Bloated
okpy/ok-client,requests,Direct,Active
okpy/ok-client,cryptography,Transitive,Bloated
okpy/ok-client,certifi,Transitive,Bloated
alessandroz/lazagne,cryptography,Unresolved,Bloated
playpauseandstop/rororo,aiohttp,Direct,Inactive
mozilla-services/kinto-dist,certifi,Unresolved,Bloated
httpie/http-prompt,certifi,Transitive,Bloated
httpie/httpie,certifi,Transitive,Bloated
zalando/connexion,certifi,Transitive,Bloated
altschool/dynamic-rest,certifi,Transitive,Bloated
pimutils/khal,configobj,Direct,Inactive
auth0/auth0-python,certifi,Transitive,Bloated
auth0/auth0-python,cryptography,Transitive,Inactive
unidata/siphon,certifi,Transitive,Bloated
unidata/metpy,certifi,Transitive,Bloated
byt3bl33d3r/crackmapexec,certifi,Transitive,Bloated
byt3bl33d3r/crackmapexec,cryptography,Transitive,Inactive
twisted/axiom,cryptography,Transitive,Bloated
twisted/treq,certifi,Transitive,Bloated
twisted/treq,cryptography,Transitive,Bloated
dictation-toolbox/caster,certifi,Unresolved,Bloated
grow/grow,requests,Direct,Bloated
grow/grow,GitPython,Direct,Inactive
grow/grow,Werkzeug,Direct,Inactive
