product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
irods/python-irodsclient,1,16,222,1050,7179,1830,25.0,80.0,82.83582089552239,9.418729817007534,64.39720129171151,57.09828393135725,5,6,10,8
sec-edgar/sec-edgar,8,229,3579,57866,98094,55254,50.0,84.81481481481481,94.45764053840064,46.83913163134804,79.40133719706658,91.66376349972627,12,75,102,98
ckan/ckanext-harvest,5,121,2526,17348,43608,43566,55.55555555555556,85.2112676056338,97.79326364692218,27.858874917698444,70.0293876764465,96.90593233534265,7,81,181,113
basement-renovator/basement-renovator,8,122,2315,35269,39736,33864,80.0,92.42424242424242,97.6381273724167,70.39018062069654,79.30545853707216,98.47334903602896,40,44,189,57
mandiant/flare-floss,18,1523,16626,190629,454687,253882,64.28571428571429,94.89096573208722,97.20533208606173,37.54416578367924,89.55009000563274,95.78211890048365,18,515,78,3345
stamparm/maltrail,1,1,1,72,72,2,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0
timotheus/ebaysdk-python,3,91,1220,7191,32031,28615,42.857142857142854,79.82456140350878,90.23668639053254,17.00482406356413,75.74489216799091,91.191561235221,2,71,7,102
praw-dev/praw,3,79,1058,16103,30214,24514,37.5,81.44329896907216,95.74660633484163,43.17968519561312,81.01788539404178,96.68309998028002,0,63,5,74
fdemmer/django-weasyprint,8,1359,17143,151467,327821,224310,44.44444444444444,94.70383275261324,96.3902164745572,41.29315256713985,89.37103506184417,92.53865575339528,10,312,70,632
mitgcm/xmitgcm,9,637,15582,20381,218397,324586,47.368421052631575,73.64161849710983,88.03887225266965,4.025892447970165,43.14031857903636,82.77826657995742,2311,140247,12118,464340
kubernetes-client/python,6,467,4707,60201,127092,77328,35.294117647058826,90.32882011605416,94.42326980942829,41.03485177939703,86.62981316501599,92.41580419246121,43,198,1453,3759
corydolphin/flask-cors,7,131,2964,28731,52436,41264,77.77777777777779,93.57142857142857,99.32975871313673,47.574182010862366,86.82606967810305,99.2376325725692,0,111,35,167
geex-arts/django-jet,2,795,8498,6933,108271,99972,50.0,88.23529411764706,94.79085331846068,4.391309855586521,68.57803394983532,92.87797989557592,0,209,9,536
ewels/multiqc,17,1880,22907,258757,691270,445185,50.0,93.39294585196225,97.62615069894306,32.056318485619954,85.63853839530721,95.89771427463602,641,3204,2592,7347
spatialaudio/nbsphinx,38,1199,15863,287691,400399,220274,77.55102040816327,93.38006230529595,98.02867383512545,64.84229553865642,90.24540319781464,97.04555467442066,49,1180,86,3357
spatialaudio/python-sounddevice,1,25,1168,2885,14819,13767,33.33333333333333,71.42857142857143,90.1930501930502,13.110656668938878,67.34378550329471,85.31854238968765,45,5,66,5
triqs/dft_tools,2,671,10527,8888,328781,275476,50.0,91.79206566347469,96.5071507150715,2.2228835962295013,82.22793560440275,93.76278501434645,20,18373,21962,151392
modlinltd/django-advanced-filters,0,5,42,0,273,688,0.0,55.55555555555556,66.66666666666666,0.0,13.356164383561644,43.37957124842371,0,5,0,5
flammie/omorfi,0,5,1024,0,1830,4763,0.0,83.33333333333334,99.7078870496592,0.0,25.462640879365523,99.47786131996659,0,17,0,28
oauthlib/oauthlib,2,113,2638,19120,33656,26137,40.0,88.28125,97.55917159763314,46.87538306896467,82.51244207997253,95.51251598757537,5,46,90,57
asana/python-asana,13,262,3755,74032,86007,63612,86.66666666666667,96.6789667896679,99.60212201591511,81.67426056066105,94.88542965259315,99.55864400413185,4,81,32,131
ab-ce/abce,21,1372,31001,555056,762330,524123,91.30434782608695,99.06137184115524,99.87435567010309,70.88602421886374,97.35692045985702,99.7415701043425,98,9094,3893,30188
django-wiki/django-wiki,11,1002,11201,47750,152665,136244,61.111111111111114,83.98994132439229,91.87925518825362,20.78119899902078,66.44108366880644,88.2403611375574,10,609,231,1403
chyroc/wechatsogou,9,481,6015,37477,140381,100715,60.0,95.62624254473161,99.07758194696096,24.118336036244756,90.34224007001828,98.87687882268627,26,302,267,456
keeper-security/commander,19,896,15004,79810,240004,191415,51.35135135135135,82.20183486238533,94.37665115108818,24.319564131004473,73.1336006728179,91.64619870441389,59,675,1068,1194
saulpw/visidata,3,28,541,9028,9561,7342,75.0,93.33333333333333,98.72262773722628,85.0815191782113,90.10460842521911,99.20281043102284,16,5,49,5
lukasschwab/arxiv.py,37,1349,15419,485226,488925,230972,97.36842105263158,99.48377581120944,99.91575946086056,98.8141712945144,99.5674566082,99.69225456978225,5,167,319,387
jazzband/pip-tools,3,562,8008,37416,198733,120052,37.5,90.64516129032259,96.34263715110684,16.393198417462244,87.07156032439394,95.46347320626288,1,81,1,115
jazzband/prettytable,0,3,0,0,5983,0,0.0,60.0,0.0,0.0,93.51359799937481,0.0,0,1,0,1
jazzband/django-auditlog,3,812,8828,7931,113699,104758,50.0,88.26086956521739,94.62964948011576,4.763535022283085,68.29014859394333,91.97285361849326,13,286,226,798
jazzband/django-silk,4,734,8623,11193,98743,102160,50.0,80.83700440528634,90.64438137285819,6.601358843096087,58.23621694307486,87.08698468987622,12,168,27,443
jazzband/django-oauth-toolkit,9,1016,12764,44640,182295,159712,56.25,87.21030042918456,95.69650622282201,17.838660821681326,72.84719252886195,93.89134818315962,17,315,28,669
jazzband/django-redshift-backend,3,860,8919,8670,145315,105985,75.0,95.44950055493896,99.48689347462354,5.4915125411705095,92.04142386622752,98.46429699548487,2,73,13,219
