product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
mfussenegger/cr8,23,3489,217,2363,3992,58854,650,159230,17,7,13701,619,139727,3859,54297,1,0,0,1,0
tuxemon/tuxemon,365,43542,1606,28244,9518,159147,647,241064,25,8,42819,515,157809,8753,140820,0,1,0,0,0
insrapperswil/nuts,23,1636,160,951,26945,373241,1722,548504,55,52,516076,1700,538138,26896,372564,0,3,0,0,0
datalad/datalad,205,69995,2167,49144,11248,170263,885,280586,30,13,57988,798,247870,10901,163064,0,2,0,0,0
hadrieng/insilicoseq,16,2723,61,2230,23143,504331,1482,718860,12,5,95673,1394,609038,22722,486411,0,1,0,0,0
mechanicalsoup/mechanicalsoup,7,1316,67,1014,1759,35627,124,51915,9,6,28358,112,42598,1727,34625,0,1,0,0,0
k4cg/nichtparasoup,33,3280,250,1852,4464,56943,224,81038,8,4,22657,188,59259,4256,52591,1,0,0,1,0
openidc/pyoidc,105,28170,1165,19921,10735,142697,764,224764,21,11,59857,670,177134,10214,133257,1,1,0,1,0
freakboy3742/pyxero,12,2271,120,1422,4287,64315,292,93494,13,8,52293,265,83926,4155,61161,0,2,0,0,0
city-of-helsinki/respa,253,21303,935,9959,46415,605958,4807,1230644,104,59,405055,4496,1072455,44898,576738,1,1,0,1,0
learningequality/studio,268,28213,1056,14863,46370,594656,3720,938564,96,60,481788,3396,794203,44850,565880,1,1,0,1,0
danielperna84/ha-philipsjs,10,12840,116,1737,4268,52593,229,76739,11,3,20126,171,55384,3891,46461,2,0,0,1,1
packethost/packet-python,24,1756,185,1308,882,22187,73,32714,5,3,16103,64,28236,863,21814,0,1,0,0,0
osmcode/pyosmium,11,1912,121,993,882,22187,73,32714,5,2,4727,54,25134,765,19630,0,1,0,0,0
goldmann/docker-squash,12,1975,76,1724,1839,38381,169,53916,8,3,7833,135,42369,1683,35072,0,1,0,0,0
xtrinch/fcm-django,23,1445,56,634,21463,295799,1932,467309,43,39,283384,1896,439047,21379,294532,0,2,0,0,0
relekang/python-semantic-release,23,3687,168,2675,12578,164779,1097,352517,37,26,258701,1040,323651,12233,157877,0,2,0,0,0
plantbreeding/api,18,3320,108,2615,1603,31415,120,45858,6,3,17871,100,38121,1481,28756,0,1,0,0,0
dmtf/python-redfish-library,12,4678,211,3938,1586,31049,128,46348,13,5,22269,112,38291,1504,29862,0,1,0,0,0
dmtf/redfish-interface-emulator,76,9389,413,4951,4383,75110,258,108493,19,12,47195,224,85674,4246,72133,0,1,0,0,0
redhatqe/widgetastic.core,34,8395,531,5604,10926,133598,581,218760,20,17,85868,559,213572,10879,132668,0,1,0,0,0
redhatqe/wrapanapi,37,15271,1199,11710,70021,1170446,8657,2051977,160,99,1126501,8406,1778175,68539,1135206,2,0,0,1,1
cokelaer/bioservices,67,24257,880,16336,29637,517398,1816,793798,47,28,222097,1607,590973,28315,475186,0,1,0,0,0
napalm-automation/napalm,58,25047,608,21332,13991,200013,1173,331429,34,19,104017,1103,284564,13570,191181,0,2,0,0,0
identitypython/pysaml2,150,65067,2945,32980,5602,81015,325,132967,15,7,79927,294,114475,5433,78028,1,1,0,1,0
identitypython/djangosaml2,15,1875,84,1286,17304,218539,1352,349642,20,9,86860,1210,262381,16396,200601,1,1,0,1,0
darknessomi/musicbox,18,4494,226,3570,1362,30141,90,43575,7,4,15588,70,35838,1243,27518,0,1,0,0,0
mvexel/overpass-api-python-wrapper,7,534,22,337,7087,155817,456,215139,14,10,186973,440,208617,7064,155202,0,1,0,0,0
poppy-project/pypot,89,13367,871,8101,26124,567691,1682,957726,12,8,534709,1638,900661,25921,559634,0,1,0,0,0
kalaspuff/tomodachi,43,9042,241,7017,6018,84151,320,124215,25,14,55529,288,107035,5895,81971,1,0,1,0,0
transifex/transifex-client,18,4397,166,3520,2020,38009,147,56150,10,4,6315,116,39035,1924,35991,0,1,0,0,0
geopandas/geopandas,44,22757,644,18594,11586,268972,682,355781,17,9,16742,518,178567,10261,222514,0,1,0,0,0
obsidianforensics/hindsight,27,9181,301,7531,882,22187,73,32714,5,5,32714,73,32714,882,22187,0,1,0,0,0
streamlink/streamlink,252,49044,2179,31097,5671,84729,392,132620,13,3,6559,348,119533,5444,79970,1,0,0,0,1
sunpy/sunpy,197,45293,1757,30069,13923,307654,899,423080,17,6,15273,713,219984,12701,259245,1,0,0,1,0
opsdroid/opsdroid,95,16773,698,12341,14444,215527,1264,421188,61,30,232317,1158,351220,13664,200123,1,0,1,0,0
http-apis/hydrus,31,7849,178,3294,34962,479039,1926,824603,64,49,413561,1773,648088,34069,458558,1,1,0,1,0
jswhit/pygrib,2,159,3,24,4035,105155,261,143419,3,2,9434,260,143233,4034,105110,0,1,0,0,0
python-gitlab/python-gitlab,89,15162,491,7419,1077,24362,107,36523,6,3,16103,97,31232,1046,23893,0,1,0,0,0
marketsquare/robotframework-requests,24,2822,145,2047,5202,52527,306,83596,6,2,4727,270,69425,5067,50041,0,1,0,0,0
hvac/hvac,66,17663,532,15585,1144,25870,86,38377,6,2,4727,64,29674,1056,24143,0,1,0,0,0
metomi/rose,131,34089,1183,23439,12853,190944,513,290362,14,9,48148,481,238438,12740,187847,0,1,0,0,0
plamere/spotipy,7,3750,207,3105,2578,44866,138,62105,8,4,33120,117,53370,2456,42219,0,1,0,0,0
pnx-si/taxhub,64,5821,202,3252,28116,388681,1529,564733,54,33,152920,1395,447733,27562,374770,0,2,0,0,0
locustio/locust,38,8898,412,6155,10994,141213,662,220549,29,14,58002,566,157525,10511,130994,0,1,0,0,0
darkreactions/drp,240,22875,802,10927,12153,120973,172,222853,11,8,194866,152,215116,12033,118337,0,1,0,0,0
whaleshark-team/cobra,24,7205,257,5734,35212,649490,2088,1160271,31,30,1119967,2086,1159282,35210,649474,0,1,0,0,0
thombashi/tcconfig,37,5162,271,3766,6242,96919,596,188837,23,6,19083,492,152011,5801,88440,0,1,0,0,0
redcap-tools/pycap,23,2830,64,2211,1009,23350,76,34288,6,2,4727,55,25102,881,20553,0,1,0,0,0
nandaka/pixivutil2,38,14537,470,12040,5051,85271,324,128090,18,6,25348,274,96714,4693,76800,1,0,0,0,1
hhursev/recipe-scrapers,259,12410,2267,7476,5264,84245,370,134245,18,10,85249,336,115418,5053,79146,0,1,0,0,0
jsvine/pdfplumber,18,3292,199,2494,4941,68993,263,110347,7,4,41362,232,81546,4735,65618,0,1,0,0,0
mikf/gallery-dl,230,55064,2680,30520,882,22187,73,32714,5,2,4727,55,25319,829,21085,0,1,0,0,0
pyupio/safety,23,5477,253,4295,4325,69857,219,100494,12,3,32265,180,74497,4120,65949,0,1,0,0,0
geotab/mygeotab-python,11,1521,84,1091,3606,59749,200,92495,17,6,6188,157,52892,3444,55416,1,1,0,1,0
koalalorenzo/python-digitalocean,26,3999,250,2982,1099,25031,87,36404,6,3,16103,73,29362,970,22815,0,1,0,0,0
hugapi/hug,42,6207,442,3695,1332,29408,155,46187,6,3,16103,134,34559,1294,28347,0,1,0,0,0
gocardless/gocardless-pro-python,78,8455,772,4540,1715,27090,151,42148,7,5,25537,142,37670,1696,26717,0,1,0,0,0
pkkid/python-plexapi,37,16838,927,11436,882,22187,73,32714,5,3,16103,64,28236,866,21850,0,1,0,0,0
cytomine/cytomine-python-client,28,5874,448,4128,8506,179361,735,257088,14,5,17998,689,213084,8357,176307,0,1,0,0,0
barronh/pseudonetcdf,185,34137,1188,25191,26518,583125,1597,858123,22,12,135940,1406,604832,24886,522582,0,1,0,0,0
python-social-auth/social-core,200,13910,1014,7857,4554,67399,326,98547,13,6,36760,283,79246,4348,63246,1,1,0,1,0
jrxfive/python-nomad,32,3707,306,2731,883,22268,73,32798,5,3,16187,65,28477,869,21989,0,1,0,0,0
konstantinstadler/pymrio,27,8635,143,7325,26018,474335,2166,1025293,27,18,504192,1998,818151,24670,426627,0,1,0,0,0
unioslo/zabbix-cli,0,0,0,0,883,22268,73,32798,5,5,32798,73,32798,883,22268,0,1,0,0,0
tableau/tabpy,50,5655,265,4318,52258,979303,2990,1386757,55,36,371921,2803,1152324,50759,929959,1,1,0,1,0
tableau/server-client-python,122,18249,1195,12179,2295,34603,195,51619,8,4,29419,189,49604,2280,34356,0,1,0,0,0
sat-utils/sat-search,5,357,12,243,943,22550,74,33712,6,4,17101,65,29234,927,22212,0,1,0,0,0
opencobra/cobrapy,72,18887,474,14820,35212,649490,2088,1160271,31,14,250274,2006,898038,34781,637521,1,0,0,0,1
jamielennox/requests-mock,12,1607,91,848,943,22550,74,33712,6,2,4727,54,25134,824,20017,0,1,0,0,0
galkan/crowbar,11,900,33,746,3546,43615,182,62622,6,3,25551,148,46884,3351,40006,1,0,0,1,0
maurosoria/dirsearch,68,5217,252,3028,6404,91608,353,172546,21,12,110256,317,148995,6211,87311,0,2,0,0,0
conan-io/conan-package-tools,18,3337,198,2667,5985,87265,703,222822,18,10,161169,654,203654,5743,82776,0,1,0,0,0
conan-io/conan,317,37810,2446,26880,2702,47235,165,67425,14,5,17468,126,45311,2531,44112,0,1,0,0,0
nitmir/django-cas-server,22,5946,171,3193,10370,136603,999,198010,12,6,24034,889,144688,10003,129920,0,1,0,0,0
searx/searx,188,22043,896,13617,6139,77795,342,119132,16,6,37473,289,83137,5964,73136,2,1,0,2,0
cowrie/cowrie,157,23712,1042,16753,18503,227584,1020,367993,30,14,93614,831,234893,17484,210761,1,1,0,1,0
certtools/intelmq,321,32229,1003,18018,7028,105929,396,148582,13,4,19519,356,119959,6747,100449,0,1,0,0,0
tethysplatform/tethys,217,34124,824,16135,6666,89581,385,139082,20,17,116511,363,128988,6623,88840,0,1,0,0,0
dj-stripe/dj-stripe,56,22650,467,6881,10347,135246,1119,200489,10,7,39647,973,138476,9742,123876,0,1,0,0,0
pywbem/pywbem,61,62310,1572,48784,3153,52869,188,78132,13,4,7981,152,59662,2898,47222,0,1,0,0,0
leancloud/python-sdk,30,5912,418,4082,8540,107923,529,175252,18,6,14421,447,120587,8149,99618,1,1,1,0,0
abhishek-ram/pyas2-lib,7,1991,39,1498,3823,60058,217,88808,6,2,19120,172,54323,3610,50633,1,0,0,1,0
getpatchwork/patchwork,118,15811,443,6401,4987,63596,264,89507,10,10,89507,264,89507,4987,63596,0,1,0,0,0
dlareau/puzzlehunt_server,100,7680,258,3136,25878,321058,2097,572670,45,38,426826,1960,518676,25403,313516,2,1,1,1,0
openml/openml-python,40,14852,402,11961,22391,590502,1411,810823,19,3,5785,1232,583221,20974,539926,1,0,0,0,1
jpmens/mqttwarn,88,7268,194,5295,4112,62794,383,97476,12,5,11403,330,66611,3773,56289,0,1,0,0,0
airbnb/knowledge-repo,107,11375,751,7196,44874,625805,2980,1086414,85,38,297215,2654,850997,43143,584322,4,0,0,2,2
threat9/routersploit,513,24110,749,11180,12513,170276,890,267485,16,9,115604,825,232484,12257,165445,1,1,0,1,0
juniper/py-junos-eznc,84,17210,660,12925,8522,108932,461,159017,19,8,50616,398,114740,8087,100932,0,1,0,0,0
juniper/jsnapy,17,7409,106,6910,11178,146236,778,217129,24,15,117937,756,204883,11042,143935,0,1,0,0,0
nci-gdc/gdcdictionary,3,175,8,129,3758,58474,235,85493,15,13,73293,224,80394,3735,58185,0,1,0,0,0
hpcugent/vsc-base,26,7666,320,5074,1550,20605,81,31339,3,2,26407,80,29620,1544,20461,0,0,0,0,0
seisman/hinetpy,6,2956,51,2026,933,24213,78,35612,6,3,7625,58,27875,814,21586,0,1,0,0,0
biosustain/cameo,74,16974,870,11172,82334,1438979,5291,2320453,127,97,788539,5081,1961460,81193,1404090,0,2,0,0,0
sentinelsat/sentinelsat,9,2939,95,2314,1826,36981,146,53253,11,2,4727,99,35473,1597,32273,0,1,0,0,0
gmplot/gmplot,27,2572,81,2132,882,22187,73,32714,5,3,16103,64,28236,866,21850,0,1,0,0,0
codecov/codecov-python,4,1312,15,1073,1531,33646,115,48089,7,5,31478,106,43611,1514,33295,0,1,0,0,0
lordfriend/albireo,97,6710,211,1847,24212,343085,1214,540777,39,21,151693,1053,354783,23327,321228,1,1,0,1,0
codalab/codalab-worksheets,203,46382,1877,33969,60368,950799,4105,1544019,87,60,781863,3925,1405361,59518,932314,2,4,1,0,1
nasa/apod-api,5,802,32,582,7161,112544,411,162228,23,14,59744,353,127467,6935,106996,0,1,0,0,0
lxc/pylxd,50,6764,489,4501,3964,55764,235,82283,12,4,23847,207,69409,3785,51958,1,1,0,1,0
mpib/lagerregal,172,11436,560,5298,21980,286880,1927,457108,35,21,139018,1685,335131,20623,261258,0,2,0,0,0
vida-nyu/reprozip,61,15126,568,11197,1398,29219,96,41696,9,3,16103,77,31760,1313,27664,0,1,0,0,0
google/openhtf,71,23718,1003,11525,6891,95354,531,166978,23,19,154288,520,160954,6865,94784,0,2,0,0,0
diyan/pywinrm,11,1882,59,1430,3947,56159,214,84863,12,6,38414,189,74877,3822,53481,1,1,0,1,0
sage-bionetworks/synapsepythonclient,50,21754,803,16765,4312,54126,239,80911,16,11,49964,215,70974,4179,51185,0,2,0,0,0
planetlabs/planet-client-python,33,6675,298,4322,3312,49814,243,72267,18,7,11949,172,45027,2833,41230,1,0,0,0,1
nrel/rdtools,14,7969,142,6133,52663,1411938,4341,1996201,32,18,190104,4123,1659632,50956,1331272,0,1,0,0,0
nrel/openoa,28,7500,243,6217,42194,908683,3042,1371279,39,19,210138,2748,1038327,40088,826366,0,1,0,0,0
docker/docker-py,69,14186,627,11289,5394,77784,299,113617,15,6,40961,234,83542,5021,70435,2,1,1,1,0
wger-project/wger,383,38589,873,12010,18820,249294,1725,368421,36,18,87833,1502,263914,17837,230711,1,1,0,1,0
golemhq/golem,62,11859,786,8909,16019,203136,825,318612,34,20,93641,745,280919,15749,197471,0,1,0,0,0
mixpanel/mixpanel-python,5,2229,126,1713,944,22631,74,33796,6,2,4811,54,25218,826,20053,0,1,0,0,0
django-cas-ng/django-cas-ng,17,1057,32,634,10261,135017,1004,199133,12,10,48186,949,169339,10082,131917,0,1,0,0,0
cookiecutter/cookiecutter,20,2431,73,1699,3203,55774,220,123892,16,5,17468,155,93178,2959,51455,0,1,0,0,0
eliasgranderubio/dagda,50,4835,250,2900,7945,123985,489,176034,21,6,33334,371,114698,7459,113483,4,0,1,2,1
gluster/gstatus,6,456,15,364,3774,46956,204,66856,7,5,43358,192,62010,3723,46124,0,1,0,0,0
mapillary/mapillary_tools,63,12483,488,9091,3506,58185,278,87570,19,8,38562,234,64105,3326,54340,1,0,0,0,1
sasview/sasview,334,76015,3751,63078,35312,608621,2028,895971,29,16,199760,1866,752705,34352,578525,0,1,0,0,0
regionmask/regionmask,21,4450,160,3006,18061,405743,1016,537906,30,15,62662,805,293042,16456,351284,0,1,0,0,0
scrapinghub/python-scrapinghub,29,4645,329,2912,1030,23671,79,35343,8,3,16103,66,28393,994,22983,0,1,0,0,0
scrapinghub/shub,38,4607,219,2702,8847,145769,719,254214,15,3,7833,640,223939,8485,137964,0,1,0,0,0
yelp/pgctl,18,2495,162,1789,6046,71423,198,112686,6,2,315,188,105697,5979,70351,1,0,0,1,0
cuemacro/findatapy,57,18094,500,12645,103002,1975596,7869,2986536,139,94,1020163,7404,2594650,100255,1886841,0,3,0,0,0
holoviz/datashader,42,17956,986,13912,37548,747418,1849,1021556,31,16,86415,1571,693831,35193,670162,0,1,0,0,0
holoviz/holoviews,139,68078,2941,47149,21193,403012,1546,626940,37,20,78522,1243,339881,19295,347248,0,1,0,0,0
holoviz/geoviews,32,7195,275,4140,33732,607376,2246,979756,48,35,322531,2029,753959,32423,564533,0,1,0,0,0
oca/l10n-switzerland,77,2547,99,1419,3345,55715,503,133058,17,5,15471,441,106649,3073,49326,1,0,0,0,1
kovacsbalu/wazeroutecalculator,6,809,54,664,882,22187,73,32714,5,3,16103,64,28236,866,21850,0,1,0,0,0
johnmaguire/cardinal,105,10000,605,7639,8313,107903,539,183908,22,22,183908,539,183908,8313,107903,0,3,0,0,0
edx/auth-backends,9,519,21,200,14670,183706,1455,272597,20,15,104285,1401,252915,14412,178950,0,2,0,0,0
edx/repo-tools,68,8091,345,5395,4919,71098,308,101810,17,9,38518,247,72829,4638,65638,0,1,0,0,0
edx/edx-drf-extensions,31,2080,91,1234,20608,268360,1770,395855,30,17,102339,1670,356531,20200,261665,0,2,0,0,0
edx/xblock-lti-consumer,69,9248,256,5479,30194,402941,2540,603144,52,23,153110,2300,494178,28973,378469,0,1,0,0,0
edx/edx-proctoring,72,11511,358,7142,35233,438780,2778,663048,62,37,256938,2602,589936,34645,428859,1,1,0,1,0
edx/edx-enterprise,603,57438,1597,28486,40588,535279,3222,809147,84,47,387997,2955,694046,39417,513362,0,2,0,0,0
edx/edx-search,17,1755,64,1135,27075,342427,2200,512257,41,36,325780,2120,481095,26757,336821,0,1,0,0,0
minio/minio-py,26,9111,621,6748,408,7234,35,11300,2,0,0,27,8485,392,6853,1,0,0,0,1
elastic/rally,80,28414,1938,21470,23730,326201,1188,478556,56,51,437000,1163,464602,23592,323666,1,1,0,0,1
elastic/elasticsearch-py,132,71569,1334,62389,639,9923,61,15978,3,1,124,39,8329,584,8372,0,1,0,0,0
eternnoir/pytelegrambotapi,31,28660,1342,21010,882,22187,73,32714,5,1,4603,53,25026,765,19611,1,0,0,0,1
nvbn/thefuck,213,6778,626,3919,14895,200134,1234,403917,48,47,376379,1232,402548,14864,199662,0,2,0,0,0
mwclient/mwclient,9,2715,121,2235,1390,32165,157,46926,8,5,39142,154,45496,1384,32116,0,1,0,0,0
rdmorganiser/rdmo,545,26368,939,7772,28002,339899,2700,509222,66,46,268422,2507,431977,27387,329589,0,3,0,0,0
lbl-anp/becquerel,35,11810,401,9060,45478,828126,2510,1211693,44,23,200828,2274,930803,43775,767668,0,1,0,0,0
punch-cyber/stoq,20,3468,83,1820,1374,30335,92,43822,8,4,20018,81,38003,1348,29695,0,1,0,0,0
mitmproxy/mitmproxy,238,44899,2129,23239,13636,190216,690,296533,36,15,142127,601,230502,13077,178176,2,0,0,1,1
stripe/stripe-python,147,10154,503,5465,883,22268,73,32798,5,3,16187,65,28477,869,21989,0,1,0,0,0
iconfinder/pyvat,12,1160,41,624,2306,41119,145,60912,7,3,16103,133,55830,2285,40732,0,1,0,0,0
infoportugal/wagtail-modeltranslation,34,1491,69,1054,21056,263853,2312,408407,33,25,154113,2185,342928,20558,253845,0,1,0,0,0
voxpupuli/puppetboard,24,2822,73,1870,7676,113328,456,170536,29,15,56098,401,139246,7499,109737,1,1,0,1,0
voxpupuli/pypuppetdb,15,3184,146,1859,882,22187,73,32714,5,2,4727,53,24977,762,19560,0,1,0,0,0
metaodi/osmapi,8,2664,86,2279,882,22187,73,32714,5,3,16103,65,28393,867,21904,0,1,0,0,0
vonage/vonage-python-sdk,25,2226,191,1388,4566,61257,233,92997,15,6,44122,199,74541,4399,57505,0,2,0,0,0
xml-security/signxml,12,2239,74,1403,3133,34527,143,50483,6,2,19120,125,38588,3042,33154,2,0,0,1,1
python273/vk_api,20,4931,183,3341,1058,25375,91,37404,6,3,9417,71,29667,939,22752,0,1,0,0,0
sergeypirogov/webdriver_manager,29,1368,108,956,1455,29765,149,43322,9,4,17337,126,34503,1351,27764,0,1,0,0,0
gallopsled/pwntools,178,68564,1667,29929,16122,227231,1356,495796,30,12,264758,1233,425507,15329,213144,0,2,0,0,0
chaoss/grimoirelab-perceval,42,19537,876,13322,18128,241578,1237,458118,37,27,377991,1186,424624,17870,234942,0,2,0,0,0
plivo/sharq-server,6,597,30,460,11049,114484,745,181398,18,7,29183,681,141350,10736,108436,2,0,0,2,0
s4w3d0ff/python-poloniex,4,984,63,734,1026,24337,87,35820,6,2,4727,63,26458,862,21146,0,1,0,0,0
dov-vlaanderen/pydov,49,9468,291,6724,12284,283746,705,378615,14,6,19291,550,203348,11029,241760,0,1,0,0,0
appium/python-client,311,16422,444,4693,10465,126224,532,207055,14,11,54940,504,197340,10393,124884,0,1,0,0,0
pysmo/aimbat,22,7627,391,6108,25456,527716,1643,791051,23,16,178926,1501,632849,24501,497377,0,1,0,0,0
zerodha/pykiteconnect,6,2064,101,1304,19387,235846,1095,382093,26,13,85843,1009,320722,19053,229636,2,1,0,2,0
edcd/edmarketconnector,49,23039,624,17961,1407,26628,107,40469,7,2,4497,81,28596,1260,23526,1,1,1,0,0
jamesoff/simplemonitor,45,7695,376,5767,30213,380848,1687,577152,39,19,194821,1591,516735,29596,368377,0,2,0,0,0
napalm-automation-community/napalm-panos,4,1084,45,897,18644,272715,1400,394149,42,32,281139,1378,381924,18553,270172,0,3,0,0,0
ankitects/anki,209,45429,3343,30792,2843,48459,188,72825,15,7,27166,153,55227,2650,44294,0,1,0,0,0
bingads/bingads-python-sdk,187,20062,358,2446,15713,214681,1083,419648,37,33,360359,1046,406237,15572,212578,0,1,0,0,0
nchammas/flintrock,15,4675,156,3678,6563,77460,342,112014,13,10,72579,320,102233,6478,76454,0,1,0,0,0
bigcommerce/bigcommerce-api-python,31,1326,95,597,2881,47704,230,102504,12,9,84059,218,97503,2860,47292,1,1,0,1,0
getpopper/popper,26,3705,152,2782,6620,106481,680,178644,24,18,117834,638,162801,6485,103630,1,1,0,1,0
moogar0880/pytrakt,11,3473,254,2483,1527,33659,164,48412,9,4,7211,139,38998,1398,30570,0,1,0,0,0
chebpy/chebpy,19,2593,274,1560,7614,95795,295,150328,9,9,150328,295,150328,7614,95795,0,1,0,0,0
insarlab/mintpy,197,59240,1358,49106,45359,964863,3450,1501179,73,43,432823,3146,1172371,43481,892751,0,2,0,0,0
oasis-open/cti-stix-validator,21,10729,238,5156,4806,69215,397,111015,32,18,40196,331,82643,4533,63211,0,1,0,0,0
arm-doe/pyart,130,45280,740,30240,40703,836087,2285,1192465,58,39,256632,1977,813935,38325,752857,0,2,0,0,0
allankp/pytest-testrail,5,856,32,691,2879,48192,166,69599,11,8,23738,155,64640,2858,47759,0,1,0,0,0
glotaran/pyglotaran,132,17771,685,13353,36946,694527,2245,1060746,28,16,233676,2029,795601,35152,633345,0,1,0,0,0
wind-python/windpowerlib,21,4911,70,3577,10496,254970,588,339124,11,6,24744,458,179115,9409,217075,0,1,0,0,0
softlayer/softlayer-python,522,45683,1327,24623,5675,91250,691,242904,13,6,20959,588,194398,5205,80576,0,1,0,0,0
galaxyproject/bioblend,64,14957,750,11750,4976,72104,433,112059,18,12,48390,416,102730,4928,71299,0,2,0,0,0
galaxyproject/planemo,160,20837,1190,13485,39082,677021,2789,1043770,76,52,811725,2648,966977,38242,659883,0,2,0,0,0
pboardman/4scanner,0,0,0,0,882,22187,73,32714,5,5,32714,73,32714,882,22187,0,1,0,0,0
dominodatalab/python-domino,50,10186,480,5613,2138,41197,135,59782,12,4,11725,103,42763,1958,36799,1,0,0,0,1
stellarcn/py-stellar-base,565,58405,4012,34924,4102,62917,223,90700,19,8,25224,195,71982,3998,60185,1,1,0,1,0
mjg59/python-broadlink,15,2048,112,1302,2735,26491,117,39291,4,3,20118,108,35164,2709,26226,1,0,0,1,0
fffonion/xehentai,23,3840,197,2444,930,22931,75,33672,6,3,5685,51,24028,783,19602,0,1,0,0,0
robotika/osgar,348,44194,2207,31473,7024,152759,527,218248,14,5,21301,435,140091,6514,134931,1,1,1,0,0
panoptes/pocs,98,17907,872,13414,13116,181967,1037,304732,30,26,199824,1007,287721,13032,179806,0,1,0,0,0
nabla-c0d3/sslyze,69,9857,244,5439,3750,41431,166,61841,8,2,19120,130,42694,3563,38014,1,0,0,1,0
lucyparsons/openoversight,70,9477,402,5930,64911,864578,4311,1718421,99,64,803006,4105,1563967,63938,842017,1,1,1,0,0
yubico/yubikey-manager,56,16888,742,9522,4755,51082,324,81516,13,7,28909,270,58275,4463,46794,1,0,0,1,0
juanifioren/django-oidc-provider,59,3801,127,1679,5472,80737,484,130754,8,7,74016,473,125549,5421,79760,0,1,0,0,0
zalando-stups/pierone-cli,11,1337,67,929,3226,53343,253,76660,12,3,31324,213,58122,2993,48983,0,1,0,0,0
transtats/transtats,99,18834,697,11015,30257,363832,2506,594824,61,38,220644,2323,513710,29639,352931,0,2,0,0,0
divio/divio-cli,23,5583,249,4109,3637,64766,257,91063,14,6,22836,225,69910,3481,60973,0,1,0,0,0
librosa/librosa,38,29901,345,21536,28090,580398,1498,808138,24,10,48611,1265,541085,26339,506497,0,1,0,0,0
espressif/esptool,84,21339,957,15815,4503,49935,183,73622,9,2,19120,157,56226,4308,46178,1,0,0,1,0
lablup/backend.ai-manager,184,36707,1218,24013,27781,366850,1648,560083,71,41,148430,1437,370585,26710,341032,2,0,1,1,0
securityinnovation/pgpy,18,9894,784,6033,3120,31589,138,48256,4,2,19120,106,35200,2941,29202,1,0,0,1,0
caktus/aws-web-stacks,25,4622,10,138,12622,167846,1527,433638,23,21,345352,1506,422461,12584,166226,0,1,0,0,0
cartodb/carto-python,26,3488,122,1861,3142,52610,324,82326,9,7,80634,319,80715,3123,52384,0,1,0,0,0
pndurette/gtts,16,1727,51,798,1416,30163,102,44340,7,3,6223,75,33062,1288,27765,0,1,0,0,0
musculoskeletalatlasproject/mapclient,181,86037,1112,12725,10881,153357,802,255019,24,12,94352,749,215424,10584,147189,0,1,0,0,0
radical-cybertools/radical.entk,24,5932,166,3920,13365,242189,784,369180,18,12,305550,708,332046,13000,233949,1,0,0,0,1
erdc/rapidpy,31,9490,160,8267,12961,291180,866,395783,18,6,17293,721,218529,11795,249237,0,1,0,0,0
wagtail/wagtailtrans,37,1716,80,912,22391,276013,2478,461408,32,25,253969,2363,408552,21973,268653,1,1,0,1,0
wagtail/wagtail,796,92553,5113,56843,15823,205605,1515,314642,31,8,29059,1188,191837,14446,182374,0,1,0,0,0
onaio/onadata,464,56370,1888,33140,52669,713271,4510,1186171,119,68,584525,4056,979420,50490,669995,1,1,0,1,0
stamusnetworks/scirius,215,29290,925,15631,19345,247706,2047,488690,42,22,124860,1808,373418,18325,229533,0,1,0,0,0
yeatmanlab/pyafq,51,17046,474,13805,49461,1029000,2952,1424035,59,25,198278,2569,980424,46642,938380,0,1,0,0,0
missionpinball/mpf-mc,114,15961,907,11056,13209,175962,1137,373619,17,13,105042,1010,302982,12513,165480,1,1,0,0,1
aio-libs/aiobotocore,31,6030,281,4858,5265,73609,247,106125,17,4,7807,171,55463,4591,63468,1,0,0,1,0
aio-libs/sockjs,18,1559,74,1010,1870,30956,96,44196,9,2,10062,79,35406,1778,29030,1,0,1,0,0
aio-libs/aiodocker,24,3125,196,2297,2032,32643,97,47268,10,4,7807,74,30520,1885,29250,1,0,0,1,0
aio-libs/aiohttp-session,12,992,70,629,1870,30956,96,44196,9,3,10309,83,37678,1814,29699,1,0,1,0,0
aio-libs/aiohttp-sse,3,296,27,170,1870,30956,96,44196,9,7,23234,93,42404,1864,30866,1,0,0,1,0
aio-libs/aiohttp-devtools,13,1370,73,930,4354,62370,490,188447,19,5,9996,425,151490,4087,56499,1,0,1,0,0
geoscienceaustralia/eo-datasets,32,14812,479,10432,53651,987391,2695,1357157,68,41,370524,2437,1100173,51992,933088,0,1,0,0,0
geoscienceaustralia/pyrate,51,13701,447,9072,911,14715,143,26841,3,3,26841,143,26841,911,14715,0,0,0,0,0
georgetown-ir-lab/quickumls,11,1679,69,1207,23907,383545,1572,629680,39,34,289422,1549,603494,23688,379099,0,1,0,0,0
log2timeline/plaso,470,103851,2920,70260,20267,314334,1671,496268,68,45,250754,1488,402990,19303,293660,0,2,0,0,0
