product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
akretion/roulier,75,5572,329,3852,5133,83342,510,170405,9,153275,26,19626,140,2523,14,5,17130,484,150779,4993,80819,1,660,274,72672,1816,23364,6,83545,17,11533,88,1529,4,16470,210,78107,3177,57455,3,69730,9,8093,52,994
asyncee/django-easy-select2,18,698,17,199,8965,107638,901,157880,2,150947,76,35423,290,5168,4,2,6933,825,122457,8680,102470,0,0,795,114552,8241,97837,1,149210,74,34658,284,5082,2,6933,30,7905,439,4633,1,1737,2,765,6,86
irods/python-irodsclient,43,10064,497,5056,268,3205,20,11148,3,10098,4,3969,48,1379,4,1,1050,16,7179,220,1826,1,1050,13,1196,220,1826,2,3700,2,3554,42,1096,0,0,3,5983,0,0,1,6398,2,415,6,283
sec-edgar/sec-edgar,18,3769,128,1998,3789,60279,270,123542,9,66456,33,22880,173,4196,16,7,57086,237,100662,3621,56083,2,7225,143,37792,2592,34185,5,47424,25,16857,126,3243,5,49861,94,62870,1029,21898,4,19032,8,6023,47,953
mandiant/flare-floss,34,5724,221,3588,17104,265062,1605,507746,10,317117,89,57222,500,12580,28,18,190629,1516,450524,16608,252482,0,0,863,246114,11716,185792,6,275392,50,29278,309,7326,18,190629,653,204410,4892,66690,4,41725,39,27944,191,5254
timotheus/ebaysdk-python,30,4186,188,5817,1352,31379,114,42288,4,35097,20,7737,115,2431,7,3,7191,94,34551,1237,28948,0,0,35,7690,491,6771,2,12545,11,4855,77,1644,3,7191,59,26861,746,22177,2,22552,9,2882,38,787
praw-dev/praw,89,20476,744,15254,1105,25355,97,37293,5,21190,18,7079,49,841,8,3,16103,79,30214,1058,24514,0,0,14,1902,179,2568,2,4251,8,2349,23,363,3,16103,65,28312,879,21946,3,16939,10,4730,26,478
fdemmer/django-weasyprint,5,273,13,157,17785,242396,1435,366809,10,215342,69,36378,635,18061,18,8,151467,1366,330431,17152,224335,0,0,887,155815,9044,112951,2,175960,41,20145,322,11821,8,151467,479,174616,8108,111384,8,39382,28,16233,313,6240
mitgcm/xmitgcm,17,8926,190,5059,17699,392115,865,506248,9,478251,240,287788,2195,71738,19,10,27997,625,218460,15545,320377,0,0,127,45126,4699,104344,3,154540,88,109414,811,21923,10,27997,498,173334,10846,216033,6,323711,152,178374,1384,49815
kubernetes-client/python,669,236021,7734,166290,4985,83674,517,146707,11,86506,57,22878,297,6588,17,6,60201,460,123829,4689,77086,1,16090,112,25200,1500,24660,7,24553,35,15443,201,4135,5,44111,348,98629,3189,52426,4,61953,22,7435,96,2453
