Identifier,Package,VersionConstraint
GHSA-x7c8-4x3h-874w,supervisor,">= 0,< 3.0.1"
GHSA-x7c8-4x3h-874w,supervisor,">= 3.1.0,< 3.1.4"
GHSA-x7c8-4x3h-874w,supervisor,">= 3.2.0,< 3.2.4"
GHSA-x7c8-4x3h-874w,supervisor,">= 3.3.0,< 3.3.3"
GHSA-8f6m-gfq9-g33v,html5lib,">= 0,< 0.99999999"
GHSA-jxfp-4rvq-9h9m,scikit-learn,">= 0.23.2,< 1.0.1"
GHSA-cwwh-4382-6fwr,dulwich,">= 0,< 0.18.5"
GHSA-876c-qmcf-cxv6,moin,">= 1.9,< 1.9.1"
GHSA-8q95-jj7p-x93x,neutron,">= 13.0.0.0b1,< 13.0.0.0b2"
GHSA-8q95-jj7p-x93x,neutron,">= 12.0.0,< 12.0.3"
GHSA-8q95-jj7p-x93x,neutron,">= 11.0.0,< 11.0.5"
GHSA-jrqm-v8cv-53ww,matrix-synapse,">= 0,< 0.34.0.1"
GHSA-fh5c-7gmg-xmp6,Kallithea,">= 0,< 0.2.1"
GHSA-r7rm-8j6h-r933,pillow,">= 0,< 6.2.2"
GHSA-j6f7-hghw-g437,bottle,">= 0,< 0.12.10"
GHSA-4fpg-j5mp-783g,cloudtoken,">= 0.1.1,< 0.1.24"
GHSA-xrp2-fhq4-4q3w,tensorflow,">= 0,< 2.6.4"
GHSA-xrp2-fhq4-4q3w,tensorflow,">= 2.7.0,< 2.7.2"
GHSA-xrp2-fhq4-4q3w,tensorflow,">= 2.8.0,< 2.8.1"
GHSA-xrp2-fhq4-4q3w,tensorflow-cpu,">= 0,< 2.6.4"
GHSA-xrp2-fhq4-4q3w,tensorflow-cpu,">= 2.7.0,< 2.7.2"
GHSA-xrp2-fhq4-4q3w,tensorflow-cpu,">= 2.8.0,< 2.8.1"
GHSA-xrp2-fhq4-4q3w,tensorflow-gpu,">= 0,< 2.6.4"
GHSA-xrp2-fhq4-4q3w,tensorflow-gpu,">= 2.7.0,< 2.7.2"
GHSA-xrp2-fhq4-4q3w,tensorflow-gpu,">= 2.8.0,< 2.8.1"
GHSA-rcv6-7hmv-fj7h,aubio,">= 0,< 0.4.7"
GHSA-xp97-6w7r-4cjc,Keystone,">= 0,< 8.0.0a0"
GHSA-3x58-8qmv-wqw5,aubio,">= 0,< 0.4.7"
GHSA-fgjh-x3f8-8gmh,saleor,">= 2.7.0,< 2.8.0"
GHSA-x9rq-fjp5-qgm9,octoprint,">= 0,< 1.6.0"
GHSA-jwpw-ppj5-7h4w,keystone,">= 2011.3,< 2014.1.5"
GHSA-jwpw-ppj5-7h4w,keystone,">= 2014.2,< 2014.2.4"
GHSA-r55w-xph5-xvx2,salt,">= 0,< 2015.8.13"
GHSA-r55w-xph5-xvx2,salt,">= 2016.3.0,< 2016.11.5"
GHSA-r55w-xph5-xvx2,salt,">= 2016.11.7,< 2016.11.10"
GHSA-r55w-xph5-xvx2,salt,">= 2017.5.0,< 2017.7.8"
GHSA-r55w-xph5-xvx2,salt,">= 2018.2.0,<= 2018.3.5"
GHSA-r55w-xph5-xvx2,salt,">= 2019.2.0,< 2019.2.8"
GHSA-r55w-xph5-xvx2,salt,">= 3000,< 3000.7"
GHSA-r55w-xph5-xvx2,salt,">= 3001,< 3001.5"
GHSA-r55w-xph5-xvx2,salt,">= 3002,< 3002.3"
