project,package_name,dependency_type,activation_status
konstantinstadler/pymrio,certifi,Transitive,Bloated
unioslo/zabbix-cli,certifi,Transitive,Bloated
tableau/tabpy,certifi,Transitive,Bloated
tableau/tabpy,cryptography,Transitive,Inactive
tableau/server-client-python,certifi,Transitive,Bloated
sat-utils/sat-search,certifi,Transitive,Bloated
opencobra/cobrapy,certifi,Transitive,Undefined
jamielennox/requests-mock,certifi,Transitive,Bloated
galkan/crowbar,cryptography,Transitive,Inactive
maurosoria/dirsearch,certifi,Direct,Bloated
maurosoria/dirsearch,cryptography,Direct,Bloated
conan-io/conan-package-tools,certifi,Transitive,Bloated
conan-io/conan,certifi,Transitive,Bloated
nitmir/django-cas-server,certifi,Transitive,Bloated
searx/searx,urllib3,Transitive,Bloated
searx/searx,cryptography,Transitive,Inactive
searx/searx,PyYAML,Direct,Inactive
cowrie/cowrie,certifi,Transitive,Bloated
cowrie/cowrie,cryptography,Transitive,Inactive
certtools/intelmq,certifi,Transitive,Bloated
tethysplatform/tethys,certifi,Transitive,Bloated
dj-stripe/dj-stripe,certifi,Transitive,Bloated
pywbem/pywbem,certifi,Transitive,Bloated
leancloud/python-sdk,Werkzeug,Direct,Active
leancloud/python-sdk,certifi,Transitive,Bloated
abhishek-ram/pyas2-lib,cryptography,Transitive,Undefined
getpatchwork/patchwork,cryptography,Transitive,Bloated
dlareau/puzzlehunt_server,Django,Direct,Active
dlareau/puzzlehunt_server,certifi,Transitive,Bloated
dlareau/puzzlehunt_server,sentry-sdk,Direct,Inactive
openml/openml-python,certifi,Transitive,Undefined
jpmens/mqttwarn,certifi,Transitive,Bloated
airbnb/knowledge-repo,certifi,Transitive,Bloated
airbnb/knowledge-repo,GitPython,Direct,Inactive
airbnb/knowledge-repo,Werkzeug,Transitive,Inactive
airbnb/knowledge-repo,Pygments,Direct,Undefined
threat9/routersploit,certifi,Transitive,Bloated
threat9/routersploit,cryptography,Transitive,Inactive
juniper/py-junos-eznc,cryptography,Transitive,Bloated
juniper/jsnapy,cryptography,Transitive,Bloated
nci-gdc/gdcdictionary,certifi,Transitive,Bloated
seisman/hinetpy,certifi,Transitive,Bloated
biosustain/cameo,certifi,Transitive,Bloated
biosustain/cameo,py,Transitive,Bloated
sentinelsat/sentinelsat,certifi,Transitive,Bloated
gmplot/gmplot,certifi,Transitive,Bloated
codecov/codecov-python,certifi,Transitive,Bloated
lordfriend/albireo,certifi,Transitive,Bloated
lordfriend/albireo,cryptography,Transitive,Inactive
codalab/codalab-worksheets,requests,Transitive,Active
codalab/codalab-worksheets,Pygments,Direct,Bloated
codalab/codalab-worksheets,py,Transitive,Bloated
codalab/codalab-worksheets,cryptography,Transitive,Bloated
codalab/codalab-worksheets,aiohttp,Transitive,Bloated
codalab/codalab-worksheets,certifi,Transitive,Undefined
nasa/apod-api,certifi,Transitive,Bloated
lxc/pylxd,certifi,Transitive,Bloated
lxc/pylxd,cryptography,Direct,Inactive
mpib/lagerregal,cryptography,Transitive,Bloated
mpib/lagerregal,certifi,Transitive,Bloated
vida-nyu/reprozip,certifi,Transitive,Bloated
google/openhtf,certifi,Transitive,Bloated
google/openhtf,cryptography,Transitive,Bloated
diyan/pywinrm,certifi,Transitive,Bloated
diyan/pywinrm,cryptography,Transitive,Inactive
sage-bionetworks/synapsepythonclient,certifi,Transitive,Bloated
sage-bionetworks/synapsepythonclient,cryptography,Transitive,Bloated
planetlabs/planet-client-python,certifi,Transitive,Undefined
nrel/rdtools,certifi,Transitive,Bloated
nrel/openoa,certifi,Transitive,Bloated
docker/docker-py,requests,Direct,Active
docker/docker-py,certifi,Transitive,Bloated
docker/docker-py,cryptography,Transitive,Inactive
wger-project/wger,certifi,Transitive,Bloated
wger-project/wger,requests,Transitive,Inactive
golemhq/golem,certifi,Transitive,Bloated
mixpanel/mixpanel-python,certifi,Transitive,Bloated
django-cas-ng/django-cas-ng,certifi,Transitive,Bloated
cookiecutter/cookiecutter,certifi,Transitive,Bloated
eliasgranderubio/dagda,requests,Direct,Active
eliasgranderubio/dagda,waitress,Direct,Inactive
eliasgranderubio/dagda,joblib,Direct,Inactive
eliasgranderubio/dagda,certifi,Transitive,Undefined
gluster/gstatus,cryptography,Transitive,Bloated
mapillary/mapillary_tools,certifi,Transitive,Undefined
sasview/sasview,cryptography,Transitive,Bloated
regionmask/regionmask,certifi,Transitive,Bloated
scrapinghub/python-scrapinghub,certifi,Transitive,Bloated
scrapinghub/shub,certifi,Transitive,Bloated
yelp/pgctl,py,Direct,Inactive
cuemacro/findatapy,certifi,Transitive,Bloated
cuemacro/findatapy,aiohttp,Transitive,Bloated
cuemacro/findatapy,cryptography,Transitive,Bloated
holoviz/datashader,certifi,Transitive,Bloated
